test0,test0_from_core,test0_to_core,test0_avg_latency,test1,test1_from_core,test1_to_core,test1_avg_latency
14,0,1,41.2,14,2,3,19.7
14,0,1,16.6,14,2,4,9.0
14,0,1,20.6,14,2,5,17.3
14,0,1,14.1,14,2,6,4.7
14,0,1,18.4,14,2,7,18.4
14,0,1,19.8,14,2,8,3.9
14,0,1,23.4,14,2,9,15.6
14,0,1,30.6,14,2,10,29.6
14,0,1,5.1,14,2,11,32.4
14,0,1,44.0,14,3,4,22.0
14,0,1,19.1,14,3,5,40.1
14,0,1,18.0,14,3,6,16.5
14,0,1,19.8,14,3,7,21.6
14,0,1,6.5,14,3,8,17.0
14,0,1,22.0,14,3,9,7.2
14,0,1,18.5,14,3,10,10.9
14,0,1,4.9,14,3,11,0.0
14,0,1,23.8,14,4,5,10.5
14,0,1,6.0,14,4,6,10.9
14,0,1,24.2,14,4,7,18.8
14,0,1,26.3,14,4,8,33.9
14,0,1,32.3,14,4,9,16.0
14,0,1,17.3,14,4,10,17.7
14,0,1,23.1,14,4,11,10.7
14,0,1,48.3,14,5,6,12.9
14,0,1,21.3,14,5,7,11.8
14,0,1,22.4,14,5,8,4.2
14,0,1,47.6,14,5,9,49.4
14,0,1,24.2,14,5,10,13.4
14,0,1,18.4,14,5,11,4.6
14,0,1,4.6,14,6,7,5.4
14,0,1,20.2,14,6,8,33.2
14,0,1,7.2,14,6,9,20.6
14,0,1,19.8,14,6,10,20.6
14,0,1,14.4,14,6,11,5.6
14,0,1,5.7,14,7,8,10.7
14,0,1,28.5,14,7,9,24.9
14,0,1,13.2,14,7,10,29.6
14,0,1,28.1,14,7,11,16.4
14,0,1,7.9,14,8,9,4.3
14,0,1,5.0,14,8,10,28.5
14,0,1,3.8,14,8,11,5.9
14,0,1,3.7,14,9,10,45.8
14,0,1,3.4,14,9,11,6.9
14,0,1,16.6,14,10,11,6.3
14,0,2,16.2,14,1,3,47.9
14,0,2,16.2,14,1,4,23.8
14,0,2,3.6,14,1,5,11.3
14,0,2,14.4,14,1,6,5.1
14,0,2,15.2,14,1,7,14.1
14,0,2,6.0,14,1,8,4.7
14,0,2,19.5,14,1,9,7.2
14,0,2,28.5,14,1,10,16.6
14,0,2,25.6,14,1,11,41.8
14,0,2,17.0,14,3,4,8.1
14,0,2,31.4,14,3,5,11.2
14,0,2,20.2,14,3,6,10.6
14,0,2,4.4,14,3,7,17.0
14,0,2,28.1,14,3,8,27.8
14,0,2,25.2,14,3,9,16.2
14,0,2,20.9,14,3,10,22.7
14,0,2,14.1,14,3,11,11.1
14,0,2,22.0,14,4,5,9.2
14,0,2,16.2,14,4,6,18.8
14,0,2,28.5,14,4,7,17.7
14,0,2,20.1,14,4,8,10.9
14,0,2,22.7,14,4,9,18.0
14,0,2,24.1,14,4,10,21.3
14,0,2,24.9,14,4,11,7.3
14,0,2,25.2,14,5,6,16.0
14,0,2,6.2,14,5,7,7.1
14,0,2,19.9,14,5,8,16.1
14,0,2,9.3,14,5,9,57.3
14,0,2,25.2,14,5,10,3.9
14,0,2,26.0,14,5,11,6.4
14,0,2,7.3,14,6,7,8.5
14,0,2,6.0,14,6,8,6.1
14,0,2,20.6,14,6,9,3.8
14,0,2,23.1,14,6,10,18.0
14,0,2,23.8,14,6,11,3.5
14,0,2,6.8,14,7,8,6.7
14,0,2,42.9,14,7,9,25.2
14,0,2,18.0,14,7,10,20.9
14,0,2,15.5,14,7,11,3.4
14,0,2,10.8,14,8,9,0.0
14,0,2,17.5,14,8,10,46.8
14,0,2,13.7,14,8,11,3.3
14,0,2,16.6,14,9,10,22.0
14,0,2,10.5,14,9,11,5.0
14,0,2,9.1,14,10,11,3.3
14,0,3,23.4,14,1,2,19.8
14,0,3,6.8,14,1,4,14.4
14,0,3,11.6,14,1,5,10.0
14,0,3,5.8,14,1,6,10.1
14,0,3,17.0,14,1,7,7.9
14,0,3,22.0,14,1,8,4.0
14,0,3,18.8,14,1,9,15.4
14,0,3,7.8,14,1,10,43.2
14,0,3,18.0,14,1,11,9.1
14,0,3,13.7,14,2,4,6.5
14,0,3,3.6,14,2,5,11.2
14,0,3,19.1,14,2,6,12.5
14,0,3,3.7,14,2,7,5.0
14,0,3,18.4,14,2,8,22.0
14,0,3,18.8,14,2,9,16.5
14,0,3,3.8,14,2,10,17.7
14,0,3,15.9,14,2,11,10.5
14,0,3,3.9,14,4,5,8.6
14,0,3,16.2,14,4,6,7.1
14,0,3,18.8,14,4,7,15.9
14,0,3,3.4,14,4,8,11.2
14,0,3,7.9,14,4,9,11.2
14,0,3,3.3,14,4,10,18.4
14,0,3,13.7,14,4,11,5.0
14,0,3,15.5,14,5,6,19.5
14,0,3,18.8,14,5,7,15.5
14,0,3,14.4,14,5,8,24.9
14,0,3,16.1,14,5,9,15.4
14,0,3,22.3,14,5,10,22.8
14,0,3,19.8,14,5,11,3.5
14,0,3,27.0,14,6,7,25.2
14,0,3,15.0,14,6,8,33.2
14,0,3,18.7,14,6,9,19.3
14,0,3,3.6,14,6,10,17.0
14,0,3,6.9,14,6,11,11.3
14,0,3,24.2,14,7,8,29.9
14,0,3,39.3,14,7,9,49.4
14,0,3,18.8,14,7,10,7.7
14,0,3,37.7,14,7,11,10.0
14,0,3,21.4,14,8,9,15.9
14,0,3,3.5,14,8,10,34.2
14,0,3,16.6,14,8,11,7.2
14,0,3,23.1,14,9,10,3.5
14,0,3,27.4,14,9,11,8.5
14,0,3,15.9,14,10,11,9.3
14,0,4,8.3,14,1,2,16.2
14,0,4,28.1,14,1,3,16.2
14,0,4,6.3,14,1,5,17.1
14,0,4,21.6,14,1,6,13.4
14,0,4,3.4,14,1,7,18.8
14,0,4,96.2,14,1,8,16.6
14,0,4,19.1,14,1,9,6.4
14,0,4,18.0,14,1,10,34.6
14,0,4,8.3,14,1,11,12.2
14,0,4,15.9,14,2,3,18.8
14,0,4,16.2,14,2,5,5.2
14,0,4,20.2,14,2,6,7.7
14,0,4,18.4,14,2,7,13.0
14,0,4,20.2,14,2,8,4.4
14,0,4,15.9,14,2,9,14.4
14,0,4,27.4,14,2,10,27.4
14,0,4,18.0,14,2,11,7.9
14,0,4,16.6,14,3,5,4.2
14,0,4,20.2,14,3,6,17.6
14,0,4,21.6,14,3,7,36.8
14,0,4,20.2,14,3,8,17.3
14,0,4,18.4,14,3,9,10.1
14,0,4,18.4,14,3,10,11.4
14,0,4,4.1,14,3,11,9.2
14,0,4,21.5,14,5,6,9.9
14,0,4,15.1,14,5,7,20.6
14,0,4,18.4,14,5,8,6.7
14,0,4,20.2,14,5,9,19.1
14,0,4,8.9,14,5,10,18.8
14,0,4,12.0,14,5,11,9.4
14,0,4,19.5,14,6,7,19.8
14,0,4,18.4,14,6,8,19.8
14,0,4,27.4,14,6,9,13.5
14,0,4,32.8,14,6,10,39.3
14,0,4,19.5,14,6,11,3.5
14,0,4,7.5,14,7,8,43.7
14,0,4,21.3,14,7,9,9.6
14,0,4,30.6,14,7,10,21.3
14,0,4,15.6,14,7,11,16.6
