test_id,seed_thread,worker_thread,latency_b4,pfd_avg,pfd_min,pfd_max,pfd_std,pfd_absdev
13,1,1,1379.4,24.0,24.0,36.0,0.1,0.0
13,2,1,98484.4,73.5,0.0,162.0,49.3,49.2
13,3,1,99143.0,83.0,0.0,189.0,58.9,58.7
13,4,1,99041.4,73.7,0.0,159.0,49.4,49.3
13,5,1,99258.9,85.0,24.0,213.0,60.7,60.5
13,6,1,99109.4,78.3,24.0,213.0,53.9,53.7
13,7,1,99361.8,84.1,24.0,186.0,59.9,59.7
13,8,1,103004.4,164.7,24.0,339.0,140.7,140.7
13,9,1,102844.3,169.5,0.0,558.0,145.5,145.4
13,10,1,102066.5,160.7,24.0,1206.0,137.0,136.7
13,11,1,102870.1,162.4,0.0,339.0,138.3,138.2
13,12,1,102672.7,170.4,24.0,357.0,146.4,146.3
13,13,1,102193.3,161.4,24.0,696.0,137.5,137.4
13,14,1,102576.7,154.3,0.0,717.0,130.4,130.3
13,15,1,103037.8,168.7,24.0,1206.0,145.1,144.5
13,16,1,99068.7,71.7,24.0,165.0,47.7,47.6
13,1,2,99816.8,72.8,24.0,150.0,48.6,48.5
13,2,2,1371.9,24.0,24.0,33.0,0.1,0.0
13,3,2,98851.3,78.5,24.0,171.0,54.3,54.2
13,4,2,98739.1,67.4,24.0,150.0,42.7,42.7
13,5,2,99074.3,79.4,24.0,171.0,55.1,54.9
13,6,2,99082.0,71.4,24.0,165.0,47.2,47.0
13,7,2,98569.7,73.6,0.0,150.0,49.3,49.2
13,8,2,102207.2,155.1,24.0,318.0,131.0,131.0
13,9,2,102587.1,163.1,18.0,345.0,139.0,139.0
13,10,2,102579.9,158.5,24.0,1158.0,134.5,134.2
13,11,2,103119.9,161.1,24.0,339.0,137.1,137.0
13,12,2,102591.5,162.6,24.0,372.0,138.4,138.4
13,13,2,102893.4,167.3,24.0,564.0,143.3,143.2
13,14,2,103099.5,156.8,24.0,690.0,132.8,132.6
13,15,2,102792.7,160.2,0.0,555.0,136.2,136.1
13,16,2,98936.4,77.6,24.0,156.0,53.5,53.5
13,1,3,108494.3,75.2,21.0,165.0,51.1,50.9
13,2,3,98985.7,79.0,24.0,180.0,54.8,54.7
13,3,3,1372.8,24.0,24.0,33.0,0.1,0.0
