test_id,seed_thread,worker_thread,latency_b4,pfd_avg,pfd_min,pfd_max,pfd_std,pfd_absdev
13,1,1,1377.4,54.0,0.0,88.0,3.7,2.3
13,2,1,150557.8,101.6,0.0,294.0,42.5,41.3
13,3,1,150502.3,108.6,0.0,204.0,25.2,23.8
13,4,1,150504.1,95.2,0.0,208.0,42.4,41.4
13,1,2,149048.3,100.0,0.0,240.0,39.6,38.6
13,2,2,1391.3,54.0,0.0,96.0,3.7,2.3
13,3,2,149685.1,93.3,0.0,200.0,37.8,36.7
13,4,2,150386.1,96.3,0.0,204.0,45.4,44.6
13,1,3,153090.7,97.8,0.0,192.0,37.0,34.5
13,2,3,150509.2,98.4,0.0,240.0,40.9,38.6
13,3,3,1393.9,54.1,0.0,116.0,3.8,2.3
13,4,3,150400.9,101.2,0.0,168.0,37.6,36.1
13,1,4,152764.6,100.4,0.0,444.0,38.8,35.7
13,2,4,151252.8,115.9,0.0,552.0,37.0,34.8
13,3,4,150870.5,95.2,0.0,200.0,42.1,41.0
13,4,4,1377.2,54.0,0.0,88.0,3.9,2.4
14,1,1,1393.1,91.0,0.0,116.0,3.7,1.7
14,2,1,150462.8,92.2,0.0,248.0,42.3,41.8
14,3,1,150405.2,99.2,0.0,248.0,41.3,40.9
14,4,1,150497.6,91.7,0.0,256.0,42.0,41.4
14,1,2,149002.9,91.6,0.0,284.0,42.3,41.7
14,2,2,1391.2,91.0,0.0,116.0,3.7,1.7
14,3,2,150635.0,90.7,0.0,252.0,40.7,40.2
14,4,2,150270.5,91.9,0.0,260.0,41.3,40.9
14,1,3,151749.5,90.1,0.0,282.0,40.2,39.8
14,2,3,150606.7,92.1,0.0,244.0,42.0,41.8
14,3,3,1410.5,103.0,0.0,136.0,4.1,1.8
14,4,3,150646.5,90.4,0.0,276.0,40.5,40.1
14,1,4,152044.6,90.5,0.0,228.0,40.1,39.8
14,2,4,152655.8,98.5,0.0,260.0,40.7,40.3
14,3,4,150719.9,92.1,0.0,208.0,41.5,41.2
14,4,4,1420.0,97.0,0.0,144.0,4.0,1.7
15,1,1,1390.0,51.2,0.0,84.0,3.4,1.7
15,2,1,150735.6,105.2,0.0,276.0,41.9,39.6
15,3,1,149776.0,100.5,0.0,304.0,37.8,36.6
15,4,1,150421.8,104.8,0.0,200.0,43.1,41.7
15,1,2,150315.8,93.2,0.0,216.0,35.7,34.2
15,2,2,1397.8,51.1,0.0,164.0,3.8,1.8
15,3,2,152789.0,96.4,0.0,234.0,38.1,36.2
15,4,2,152938.0,97.0,0.0,232.0,43.5,42.2
15,1,3,152185.0,89.1,0.0,200.0,38.1,37.4
15,2,3,150424.1,96.9,0.0,208.0,43.4,42.5
15,3,3,1408.7,51.1,0.0,140.0,3.6,1.8
15,4,3,150417.1,96.2,0.0,204.0,43.3,42.4
15,1,4,152060.6,94.5,0.0,216.0,41.8,40.7
15,2,4,151915.2,96.4,0.0,200.0,42.9,42.0
15,3,4,150902.6,92.1,0.0,216.0,38.0,36.9
15,4,4,1407.6,51.1,0.0,84.0,3.5,1.8
34,1,1,1412.1,77.1,76.0,472.0,4.4,1.6
34,2,1,150778.0,34.0,16.0,390.0,9.0,3.3
34,3,1,150427.2,38.1,24.0,438.0,10.1,8.0
34,4,1,150512.0,26.3,12.0,390.0,12.0,8.6
34,1,2,152760.9,26.2,12.0,420.0,12.3,8.9
34,2,2,1452.3,77.0,72.0,180.0,2.2,1.5
34,3,2,150390.5,25.8,12.0,216.0,9.4,8.8
34,4,2,150530.8,26.6,12.0,148.0,8.9,8.3
34,1,3,153146.5,38.2,24.0,390.0,8.6,3.5
34,2,3,150361.8,28.2,16.0,220.0,8.0,6.9
34,3,3,1447.4,77.1,72.0,172.0,2.1,1.6
34,4,3,150289.7,34.9,16.0,248.0,4.9,3.0
34,1,4,153428.8,27.2,16.0,384.0,12.6,8.3
34,2,4,153220.7,33.5,16.0,384.0,6.8,3.6
34,3,4,150754.4,33.8,16.0,1300.0,13.5,3.2
34,4,4,1426.5,77.0,0.0,176.0,2.5,1.6
