test_id,seed_thread,worker_thread,latency_b4,pfd_avg,pfd_min,pfd_max,pfd_std,pfd_absdev
13,1,4,151877.3,1.9,0.0,74.0,1.8,0.4
13,4,3,53501.5,4.2,0.0,219.0,9.8,2.7
13,2,5,138842.4,4.0,0.0,292.0,5.1,0.7
13,3,2,160935.1,5.2,0.0,400.0,10.0,3.0
13,4,4,1364.3,3.1,0.0,471.0,5.6,0.5
13,3,3,1237.7,4.0,0.0,724.0,7.8,0.6
13,4,6,164399.8,4.5,0.0,400.0,12.2,1.8
13,1,1,1235.7,3.9,0.0,112.0,3.4,0.6
13,5,2,67097.8,4.0,0.0,399.0,10.4,2.4
13,2,4,158179.7,4.4,0.0,651.0,13.9,3.2
13,3,4,103051.9,3.9,0.0,76.0,3.2,0.6
13,5,5,1215.6,3.9,0.0,76.0,2.6,0.5
13,4,5,131933.8,5.5,0.0,472.0,14.3,3.6
13,6,3,94389.4,3.0,0.0,435.0,7.1,0.5
13,5,4,56351.3,3.9,0.0,111.0,6.7,2.2
13,6,6,1205.3,3.7,0.0,40.0,2.0,0.6
13,2,3,157944.0,4.1,0.0,652.0,13.4,1.0
13,5,6,76090.9,5.0,0.0,400.0,11.4,2.7
13,4,2,137420.6,5.1,0.0,400.0,12.7,2.7
13,1,3,58975.6,3.1,0.0,363.0,5.1,0.7
13,4,1,81450.6,5.6,0.0,1119.0,17.3,5.2
13,1,2,62192.0,4.8,0.0,507.0,22.1,3.8
13,1,5,162515.7,5.5,0.0,688.0,20.0,3.5
13,1,6,51474.6,4.8,0.0,184.0,7.6,2.4
13,2,1,52214.8,4.6,0.0,220.0,6.4,1.9
13,3,6,110811.5,3.7,0.0,148.0,2.4,0.7
13,5,1,59239.0,4.5,0.0,400.0,7.6,1.6
13,6,4,87196.8,3.2,0.0,398.0,8.9,2.7
13,6,2,55906.7,3.8,0.0,147.0,7.1,2.1
13,2,6,93606.5,7.0,0.0,220.0,12.5,6.1
13,6,5,142846.1,4.0,0.0,147.0,7.1,2.4
13,3,5,55605.4,4.3,0.0,112.0,5.0,1.2
13,3,1,155088.3,4.6,0.0,652.0,15.2,2.0
13,5,3,56726.9,4.8,0.0,148.0,6.9,2.1
13,2,2,1219.3,2.9,0.0,39.0,1.7,0.3
13,6,1,58478.2,4.5,0.0,112.0,5.7,1.7
14,6,3,63774.9,10.2,0.0,1120.0,51.0,12.8
14,5,3,139812.3,4.4,0.0,256.0,6.8,1.5
14,5,4,159245.7,9.6,0.0,472.0,21.2,10.5
14,3,3,1199.7,3.6,0.0,40.0,1.9,0.8
14,2,4,78288.4,5.1,0.0,759.0,29.5,4.7
14,6,4,107549.7,7.8,0.0,760.0,40.0,8.1
14,3,1,96132.5,11.7,0.0,400.0,48.6,15.4
14,1,4,121834.7,5.1,0.0,472.0,13.0,2.8
14,6,1,103137.4,4.9,0.0,436.0,14.4,2.5
14,2,6,84781.9,5.4,0.0,184.0,10.5,3.2
14,4,6,57791.9,13.5,0.0,832.0,61.5,18.8
14,3,6,54268.2,5.1,0.0,364.0,9.9,2.7
14,6,5,95171.3,8.8,0.0,831.0,44.8,11.5
14,5,2,88988.4,4.8,0.0,472.0,18.4,2.3
14,4,4,1259.4,3.9,0.0,472.0,5.3,0.6
14,1,3,84920.5,5.9,0.0,508.0,24.0,4.4
14,2,1,58917.7,4.9,0.0,399.0,14.1,4.0
14,4,2,55121.2,4.0,0.0,218.0,12.7,4.2
14,3,2,62599.8,14.9,0.0,652.0,46.5,19.6
14,2,3,71208.0,5.6,0.0,687.0,23.6,5.5
14,5,1,94456.6,6.5,0.0,724.0,28.7,5.5
14,1,1,1225.2,3.6,0.0,40.0,1.8,0.8
