test_num,pinned_thread,thread1,thread2,thread1_rep_1_wins,thread1_rep_2_wins,thread1_rep_3_wins,thread2_rep_1_wins,thread2_rep_2_wins,thread2_rep_3_wins,thread1_total_wins,thread2_total_wins,total
13,0,0,16,216,501,30,784,499,970,747,2253,3000
13,1,0,16,501,499,497,499,501,503,1497,1503,3000
13,2,0,16,501,499,501,499,501,499,1501,1499,3000
13,3,0,16,501,496,500,499,504,500,1497,1503,3000
13,4,0,16,499,500,499,501,500,501,1498,1502,3000
13,5,0,16,500,500,502,500,500,498,1502,1498,3000
13,6,0,16,502,500,499,498,500,501,1501,1499,3000
13,7,0,16,501,501,501,499,499,499,1503,1497,3000
13,8,0,16,498,491,494,502,509,506,1483,1517,3000
13,9,0,16,500,498,500,500,502,500,1498,1502,3000
13,10,0,16,501,502,506,499,498,494,1509,1491,3000
13,11,0,16,502,497,502,498,503,498,1501,1499,3000
13,12,0,16,498,501,501,502,499,499,1500,1500,3000
13,13,0,16,497,504,502,503,496,498,1503,1497,3000
13,14,0,16,498,500,500,502,500,500,1498,1502,3000
13,15,0,16,502,501,501,498,499,499,1504,1496,3000
13,16,0,16,500,500,729,500,500,271,1729,1271,3000
13,17,0,16,500,499,502,500,501,498,1501,1499,3000
13,18,0,16,500,499,501,500,501,499,1500,1500,3000
13,19,0,16,499,502,498,501,498,502,1499,1501,3000
13,20,0,16,501,499,499,499,501,501,1499,1501,3000
13,21,0,16,501,499,502,499,501,498,1502,1498,3000
13,22,0,16,500,499,499,500,501,501,1498,1502,3000
13,23,0,16,501,500,501,499,500,499,1502,1498,3000
13,24,0,16,499,500,501,501,500,499,1500,1500,3000
13,25,0,16,502,504,502,498,496,498,1508,1492,3000
13,26,0,16,498,497,503,502,503,497,1498,1502,3000
13,27,0,16,500,503,500,500,497,500,1503,1497,3000
13,28,0,16,501,502,504,499,498,496,1507,1493,3000
13,29,0,16,484,501,498,516,499,502,1483,1517,3000
13,30,0,16,500,501,502,500,499,498,1503,1497,3000
13,31,0,16,500,500,499,500,500,501,1499,1501,3000
13,0,1,17,501,500,500,499,500,500,1501,1499,3000
13,1,1,17,500,487,500,500,513,500,1487,1513,3000
13,2,1,17,502,500,501,498,500,499,1503,1497,3000
13,3,1,17,501,502,498,499,498,502,1501,1499,3000
13,4,1,17,499,498,503,501,502,497,1500,1500,3000
13,5,1,17,501,499,501,499,501,499,1501,1499,3000
13,6,1,17,500,499,501,500,501,499,1500,1500,3000
13,7,1,17,500,501,501,500,499,499,1502,1498,3000
13,8,1,17,500,501,500,500,499,500,1501,1499,3000
13,9,1,17,500,496,496,500,504,504,1492,1508,3000
13,10,1,17,502,505,510,498,495,490,1517,1483,3000
13,11,1,17,503,501,498,497,499,502,1502,1498,3000
13,12,1,17,498,499,499,502,501,501,1496,1504,3000
13,13,1,17,502,499,503,498,501,497,1504,1496,3000
13,14,1,17,499,498,499,501,502,501,1496,1504,3000
13,15,1,17,501,504,502,499,496,498,1507,1493,3000
13,16,1,17,502,502,500,498,498,500,1504,1496,3000
13,17,1,17,500,500,794,500,500,206,1794,1206,3000
13,18,1,17,499,501,499,501,499,501,1499,1501,3000
13,19,1,17,501,500,503,499,500,497,1504,1496,3000
13,20,1,17,502,501,498,498,499,502,1501,1499,3000
13,21,1,17,500,500,501,500,500,499,1501,1499,3000
13,22,1,17,500,502,501,500,498,499,1503,1497,3000
13,23,1,17,501,499,500,499,501,500,1500,1500,3000
13,24,1,17,503,502,503,497,498,497,1508,1492,3000
13,25,1,17,502,500,500,498,500,500,1502,1498,3000
13,26,1,17,499,499,502,501,501,498,1500,1500,3000
13,27,1,17,499,501,509,501,499,491,1509,1491,3000
13,28,1,17,497,501,499,503,499,501,1497,1503,3000
13,29,1,17,494,497,505,506,503,495,1496,1504,3000
13,30,1,17,503,500,506,497,500,494,1509,1491,3000
13,31,1,17,506,503,500,494,497,500,1509,1491,3000
13,0,2,18,500,501,500,500,499,500,1501,1499,3000
13,1,2,18,501,504,501,499,496,499,1506,1494,3000
13,2,2,18,501,500,500,499,500,500,1501,1499,3000
13,3,2,18,500,502,501,500,498,499,1503,1497,3000
13,4,2,18,502,503,501,498,497,499,1506,1494,3000
13,5,2,18,502,500,499,498,500,501,1501,1499,3000
13,6,2,18,503,500,500,497,500,500,1503,1497,3000
13,7,2,18,501,502,500,499,498,500,1503,1497,3000
13,8,2,18,500,503,500,500,497,500,1503,1497,3000
13,9,2,18,502,499,497,498,501,503,1498,1502,3000
13,10,2,18,495,499,501,505,501,499,1495,1505,3000
13,11,2,18,501,500,499,499,500,501,1500,1500,3000
13,12,2,18,504,502,499,496,498,501,1505,1495,3000
13,13,2,18,499,499,504,501,501,496,1502,1498,3000
13,14,2,18,504,499,500,496,501,500,1503,1497,3000
13,15,2,18,500,501,501,500,499,499,1502,1498,3000
13,16,2,18,502,500,500,498,500,500,1502,1498,3000
13,17,2,18,501,500,500,499,500,500,1501,1499,3000
13,18,2,18,944,881,500,56,119,500,2325,675,3000
13,19,2,18,500,501,503,500,499,497,1504,1496,3000
13,20,2,18,502,500,498,498,500,502,1500,1500,3000
13,21,2,18,500,501,501,500,499,499,1502,1498,3000
13,22,2,18,501,500,499,499,500,501,1500,1500,3000
13,23,2,18,500,500,498,500,500,502,1498,1502,3000
13,24,2,18,507,496,498,493,504,502,1501,1499,3000
13,25,2,18,501,502,501,499,498,499,1504,1496,3000
13,26,2,18,499,504,499,501,496,501,1502,1498,3000
13,27,2,18,496,499,501,504,501,499,1496,1504,3000
13,28,2,18,501,499,486,499,501,514,1486,1514,3000
13,29,2,18,504,496,500,496,504,500,1500,1500,3000
13,30,2,18,500,506,501,500,494,499,1507,1493,3000
13,31,2,18,502,500,512,498,500,488,1514,1486,3000
13,0,3,19,503,504,502,497,496,498,1509,1491,3000
13,1,3,19,499,501,499,501,499,501,1499,1501,3000
13,2,3,19,501,503,500,499,497,500,1504,1496,3000
13,3,3,19,400,488,497,600,512,503,1385,1615,3000
13,4,3,19,501,500,499,499,500,501,1500,1500,3000
13,5,3,19,500,499,500,500,501,500,1499,1501,3000
13,6,3,19,500,500,502,500,500,498,1502,1498,3000
13,7,3,19,501,500,499,499,500,501,1500,1500,3000
13,8,3,19,499,500,505,501,500,495,1504,1496,3000
13,9,3,19,500,499,505,500,501,495,1504,1496,3000
13,10,3,19,500,499,494,500,501,506,1493,1507,3000
13,11,3,19,507,500,506,493,500,494,1513,1487,3000
13,12,3,19,498,499,497,502,501,503,1494,1506,3000
13,13,3,19,502,490,496,498,510,504,1488,1512,3000
13,14,3,19,502,499,501,498,501,499,1502,1498,3000
13,15,3,19,499,499,501,501,501,499,1499,1501,3000
13,16,3,19,500,500,503,500,500,497,1503,1497,3000
13,17,3,19,500,499,500,500,501,500,1499,1501,3000
13,18,3,19,501,499,499,499,501,501,1499,1501,3000
13,19,3,19,500,830,500,500,170,500,1830,1170,3000
13,20,3,19,499,502,501,501,498,499,1502,1498,3000
13,21,3,19,500,500,499,500,500,501,1499,1501,3000
13,22,3,19,501,502,499,499,498,501,1502,1498,3000
13,23,3,19,502,500,500,498,500,500,1502,1498,3000
13,24,3,19,504,497,493,496,503,507,1494,1506,3000
13,25,3,19,504,487,507,496,513,493,1498,1502,3000
13,26,3,19,500,503,501,500,497,499,1504,1496,3000
13,27,3,19,502,506,503,498,494,497,1511,1489,3000
13,28,3,19,504,499,501,496,501,499,1504,1496,3000
13,29,3,19,498,509,499,502,491,501,1506,1494,3000
13,30,3,19,489,501,501,511,499,499,1491,1509,3000
13,31,3,19,503,503,505,497,497,495,1511,1489,3000
13,0,4,20,500,500,499,500,500,501,1499,1501,3000
13,1,4,20,501,503,500,499,497,500,1504,1496,3000
13,2,4,20,500,499,502,500,501,498,1501,1499,3000
13,3,4,20,501,500,500,499,500,500,1501,1499,3000
13,4,4,20,500,499,204,500,501,796,1203,1797,3000
13,5,4,20,500,498,499,500,502,501,1497,1503,3000
13,6,4,20,500,500,502,500,500,498,1502,1498,3000
13,7,4,20,502,500,501,498,500,499,1503,1497,3000
13,8,4,20,502,500,499,498,500,501,1501,1499,3000
13,9,4,20,510,502,507,490,498,493,1519,1481,3000
13,10,4,20,504,502,494,496,498,506,1500,1500,3000
13,11,4,20,500,501,500,500,499,500,1501,1499,3000
13,12,4,20,500,500,495,500,500,505,1495,1505,3000
13,13,4,20,500,503,500,500,497,500,1503,1497,3000
13,14,4,20,496,492,501,504,508,499,1489,1511,3000
13,15,4,20,499,499,499,501,501,501,1497,1503,3000
13,16,4,20,499,501,499,501,499,501,1499,1501,3000
13,17,4,20,500,499,502,500,501,498,1501,1499,3000
13,18,4,20,500,500,499,500,500,501,1499,1501,3000
13,19,4,20,502,500,501,498,500,499,1503,1497,3000
13,20,4,20,501,501,571,499,499,429,1573,1427,3000
13,21,4,20,500,500,501,500,500,499,1501,1499,3000
13,22,4,20,500,499,501,500,501,499,1500,1500,3000
13,23,4,20,500,505,499,500,495,501,1504,1496,3000
13,24,4,20,501,504,500,499,496,500,1505,1495,3000
13,25,4,20,504,493,501,496,507,499,1498,1502,3000
13,26,4,20,503,501,502,497,499,498,1506,1494,3000
13,27,4,20,501,499,501,499,501,499,1501,1499,3000
13,28,4,20,499,492,502,501,508,498,1493,1507,3000
13,29,4,20,510,501,502,490,499,498,1513,1487,3000
13,30,4,20,500,500,505,500,500,495,1505,1495,3000
13,31,4,20,503,502,506,497,498,494,1511,1489,3000
13,0,5,21,500,501,499,500,499,501,1500,1500,3000
13,1,5,21,501,500,500,499,500,500,1501,1499,3000
13,2,5,21,502,500,501,498,500,499,1503,1497,3000
13,3,5,21,501,500,500,499,500,500,1501,1499,3000
13,4,5,21,499,501,500,501,499,500,1500,1500,3000
13,5,5,21,368,501,439,632,499,561,1308,1692,3000
13,6,5,21,500,501,500,500,499,500,1501,1499,3000
13,7,5,21,499,501,501,501,499,499,1501,1499,3000
13,8,5,21,498,498,508,502,502,492,1504,1496,3000
13,9,5,21,500,503,502,500,497,498,1505,1495,3000
13,10,5,21,501,503,501,499,497,499,1505,1495,3000
13,11,5,21,499,499,498,501,501,502,1496,1504,3000
13,12,5,21,498,500,503,502,500,497,1501,1499,3000
13,13,5,21,505,496,501,495,504,499,1502,1498,3000
13,14,5,21,496,500,502,504,500,498,1498,1502,3000
13,15,5,21,503,500,501,497,500,499,1504,1496,3000
13,16,5,21,498,501,500,502,499,500,1499,1501,3000
13,17,5,21,500,501,501,500,499,499,1502,1498,3000
13,18,5,21,500,501,500,500,499,500,1501,1499,3000
13,19,5,21,500,501,501,500,499,499,1502,1498,3000
13,20,5,21,500,501,501,500,499,499,1502,1498,3000
13,21,5,21,498,501,500,502,499,500,1499,1501,3000
