test_num,pinned_thread,thread1,thread2,thread1_rep_1_wins,thread1_rep_2_wins,thread1_rep_3_wins,thread2_rep_1_wins,thread2_rep_2_wins,thread2_rep_3_wins,thread1_total_wins,thread2_total_wins,total
13,0,0,4,500,500,500,500,500,500,1500,1500,3000
13,1,0,4,500,500,499,500,500,501,1499,1501,3000
13,2,0,4,500,499,500,500,501,500,1499,1501,3000
13,3,0,4,499,498,500,501,502,500,1497,1503,3000
13,4,0,4,500,500,500,500,500,500,1500,1500,3000
13,5,0,4,499,500,500,501,500,500,1499,1501,3000
13,6,0,4,500,501,500,500,499,500,1501,1499,3000
13,7,0,4,501,500,500,499,500,500,1501,1499,3000
13,0,1,5,500,500,500,500,500,500,1500,1500,3000
13,1,1,5,500,500,500,500,500,500,1500,1500,3000
13,2,1,5,500,500,498,500,500,502,1498,1502,3000
13,3,1,5,499,500,501,501,500,499,1500,1500,3000
13,4,1,5,499,501,504,501,499,496,1504,1496,3000
13,5,1,5,500,500,500,500,500,500,1500,1500,3000
13,6,1,5,500,499,500,500,501,500,1499,1501,3000
13,7,1,5,499,500,500,501,500,500,1499,1501,3000
13,0,2,6,500,496,500,500,504,500,1496,1504,3000
13,1,2,6,500,500,501,500,500,499,1501,1499,3000
13,2,2,6,500,500,500,500,500,500,1500,1500,3000
13,3,2,6,500,500,500,500,500,500,1500,1500,3000
13,4,2,6,501,500,499,499,500,501,1500,1500,3000
13,5,2,6,499,500,500,501,500,500,1499,1501,3000
13,6,2,6,500,500,500,500,500,500,1500,1500,3000
13,7,2,6,500,500,498,500,500,502,1498,1502,3000
13,0,3,7,500,498,499,500,502,501,1497,1503,3000
13,1,3,7,499,498,501,501,502,499,1498,1502,3000
13,2,3,7,500,498,502,500,502,498,1500,1500,3000
13,3,3,7,500,500,500,500,500,500,1500,1500,3000
13,4,3,7,501,498,500,499,502,500,1499,1501,3000
13,5,3,7,500,499,499,500,501,501,1498,1502,3000
13,6,3,7,500,498,500,500,502,500,1498,1502,3000
13,7,3,7,500,500,500,500,500,500,1500,1500,3000
14,0,0,4,500,500,501,500,500,499,1501,1499,3000
14,1,0,4,501,500,500,499,500,500,1501,1499,3000
14,2,0,4,499,501,499,501,499,501,1499,1501,3000
14,3,0,4,501,499,499,499,501,501,1499,1501,3000
14,4,0,4,500,254,500,500,746,500,1254,1746,3000
14,5,0,4,501,501,500,499,499,500,1502,1498,3000
14,6,0,4,500,499,500,500,501,500,1499,1501,3000
14,7,0,4,499,501,501,501,499,499,1501,1499,3000
14,0,1,5,500,502,501,500,498,499,1503,1497,3000
14,1,1,5,366,500,500,634,500,500,1366,1634,3000
14,2,1,5,501,501,502,499,499,498,1504,1496,3000
14,3,1,5,500,502,500,500,498,500,1502,1498,3000
14,4,1,5,500,500,499,500,500,501,1499,1501,3000
14,5,1,5,500,501,500,500,499,500,1501,1499,3000
14,6,1,5,501,500,500,499,500,500,1501,1499,3000
14,7,1,5,497,499,498,503,501,502,1494,1506,3000
14,0,2,6,499,499,500,501,501,500,1498,1502,3000
14,1,2,6,500,500,500,500,500,500,1500,1500,3000
14,2,2,6,500,500,500,500,500,500,1500,1500,3000
14,3,2,6,498,499,500,502,501,500,1497,1503,3000
14,4,2,6,500,501,499,500,499,501,1500,1500,3000
14,5,2,6,500,500,499,500,500,501,1499,1501,3000
14,6,2,6,500,500,499,500,500,501,1499,1501,3000
14,7,2,6,500,500,500,500,500,500,1500,1500,3000
14,0,3,7,500,499,499,500,501,501,1498,1502,3000
14,1,3,7,500,500,501,500,500,499,1501,1499,3000
14,2,3,7,499,499,500,501,501,500,1498,1502,3000
14,3,3,7,501,500,501,499,500,499,1502,1498,3000
14,4,3,7,500,498,498,500,502,502,1496,1504,3000
14,5,3,7,500,501,500,500,499,500,1501,1499,3000
14,6,3,7,499,500,500,501,500,500,1499,1501,3000
14,7,3,7,500,500,500,500,500,500,1500,1500,3000
15,0,0,4,500,501,500,500,499,500,1501,1499,3000
15,1,0,4,499,500,501,501,500,499,1500,1500,3000
15,2,0,4,500,500,500,500,500,500,1500,1500,3000
15,3,0,4,502,500,500,498,500,500,1502,1498,3000
15,4,0,4,500,500,500,500,500,500,1500,1500,3000
15,5,0,4,500,499,497,500,501,503,1496,1504,3000
15,6,0,4,500,500,499,500,500,501,1499,1501,3000
15,7,0,4,500,499,498,500,501,502,1497,1503,3000
15,0,1,5,501,503,501,499,497,499,1505,1495,3000
15,1,1,5,500,501,500,500,499,500,1501,1499,3000
15,2,1,5,501,500,501,499,500,499,1502,1498,3000
15,3,1,5,501,500,499,499,500,501,1500,1500,3000
15,4,1,5,500,500,499,500,500,501,1499,1501,3000
15,5,1,5,500,500,500,500,500,500,1500,1500,3000
15,6,1,5,500,500,500,500,500,500,1500,1500,3000
15,7,1,5,501,500,500,499,500,500,1501,1499,3000
15,0,2,6,500,498,499,500,502,501,1497,1503,3000
15,1,2,6,501,500,500,499,500,500,1501,1499,3000
15,2,2,6,500,499,500,500,501,500,1499,1501,3000
15,3,2,6,500,500,500,500,500,500,1500,1500,3000
15,4,2,6,499,500,500,501,500,500,1499,1501,3000
15,5,2,6,500,496,500,500,504,500,1496,1504,3000
15,6,2,6,500,500,500,500,500,500,1500,1500,3000
15,7,2,6,500,501,500,500,499,500,1501,1499,3000
15,0,3,7,499,499,500,501,501,500,1498,1502,3000
15,1,3,7,499,500,501,501,500,499,1500,1500,3000
15,2,3,7,500,498,500,500,502,500,1498,1502,3000
15,3,3,7,500,500,500,500,500,500,1500,1500,3000
15,4,3,7,499,499,498,501,501,502,1496,1504,3000
15,5,3,7,501,500,499,499,500,501,1500,1500,3000
15,6,3,7,500,496,500,500,504,500,1496,1504,3000
15,7,3,7,500,501,500,500,499,500,1501,1499,3000
34,0,0,4,500,500,500,500,500,500,1500,1500,3000
34,1,0,4,500,500,499,500,500,501,1499,1501,3000
34,2,0,4,500,501,500,500,499,500,1501,1499,3000
34,3,0,4,500,500,500,500,500,500,1500,1500,3000
34,4,0,4,500,500,500,500,500,500,1500,1500,3000
34,5,0,4,500,503,498,500,497,502,1501,1499,3000
34,6,0,4,498,500,500,502,500,500,1498,1502,3000
34,7,0,4,500,500,499,500,500,501,1499,1501,3000
34,0,1,5,500,499,500,500,501,500,1499,1501,3000
34,1,1,5,500,500,500,500,500,500,1500,1500,3000
34,2,1,5,499,498,500,501,502,500,1497,1503,3000
34,3,1,5,500,499,502,500,501,498,1501,1499,3000
34,4,1,5,500,500,501,500,500,499,1501,1499,3000
34,5,1,5,500,500,500,500,500,500,1500,1500,3000
34,6,1,5,497,501,500,503,499,500,1498,1502,3000
34,7,1,5,500,501,499,500,499,501,1500,1500,3000
34,0,2,6,499,500,500,501,500,500,1499,1501,3000
34,1,2,6,500,501,499,500,499,501,1500,1500,3000
34,2,2,6,500,500,460,500,500,540,1460,1540,3000
34,3,2,6,500,501,500,500,499,500,1501,1499,3000
34,4,2,6,501,500,499,499,500,501,1500,1500,3000
34,5,2,6,501,500,500,499,500,500,1501,1499,3000
34,6,2,6,500,500,500,500,500,500,1500,1500,3000
34,7,2,6,498,500,500,502,500,500,1498,1502,3000
34,0,3,7,499,500,501,501,500,499,1500,1500,3000
34,1,3,7,500,500,500,500,500,500,1500,1500,3000
34,2,3,7,498,499,500,502,501,500,1497,1503,3000
34,3,3,7,500,500,500,500,500,500,1500,1500,3000
34,4,3,7,500,500,500,500,500,500,1500,1500,3000
34,5,3,7,501,499,500,499,501,500,1500,1500,3000
34,6,3,7,500,499,502,500,501,498,1501,1499,3000
34,7,3,7,500,500,500,500,500,500,1500,1500,3000
