test_num,pinned_thread,thread1,thread2,thread1_wins,thread2_wins
13,0,0,32,500,500
13,1,0,32,498,502
13,2,0,32,500,500
13,3,0,32,502,498
13,4,0,32,503,497
13,5,0,32,498,502
13,6,0,32,500,500
13,7,0,32,500,500
13,8,0,32,501,499
13,9,0,32,500,500
13,10,0,32,500,500
13,11,0,32,498,502
13,12,0,32,501,499
13,13,0,32,500,500
13,14,0,32,500,500
13,15,0,32,501,499
13,16,0,32,501,499
13,17,0,32,501,499
13,18,0,32,501,499
13,19,0,32,500,500
13,20,0,32,502,498
13,21,0,32,500,500
13,22,0,32,500,500
13,23,0,32,499,501
13,24,0,32,500,500
13,25,0,32,510,490
13,26,0,32,500,500
13,27,0,32,500,500
13,28,0,32,500,500
13,29,0,32,501,499
13,30,0,32,501,499
13,31,0,32,498,502
13,32,0,32,500,500
13,33,0,32,500,500
13,34,0,32,500,500
13,35,0,32,502,498
13,36,0,32,501,499
13,37,0,32,502,498
13,38,0,32,500,500
13,39,0,32,500,500
13,40,0,32,500,500
13,41,0,32,501,499
13,42,0,32,499,501
13,43,0,32,498,502
13,44,0,32,501,499
13,45,0,32,498,502
13,46,0,32,502,498
13,47,0,32,502,498
13,48,0,32,500,500
13,49,0,32,501,499
13,50,0,32,500,500
13,51,0,32,500,500
13,52,0,32,500,500
13,53,0,32,502,498
13,54,0,32,501,499
13,55,0,32,505,495
13,56,0,32,500,500
13,57,0,32,500,500
13,58,0,32,501,499
13,59,0,32,502,498
13,60,0,32,502,498
13,61,0,32,499,501
13,62,0,32,500,500
13,63,0,32,502,498
13,0,1,33,501,499
13,1,1,33,500,500
13,2,1,33,499,501
13,3,1,33,501,499
13,4,1,33,498,502
13,5,1,33,503,497
13,6,1,33,503,497
13,7,1,33,499,501
13,8,1,33,501,499
13,9,1,33,500,500
13,10,1,33,495,505
13,11,1,33,500,500
13,12,1,33,500,500
13,13,1,33,500,500
13,14,1,33,498,502
13,15,1,33,500,500
13,16,1,33,499,501
13,17,1,33,500,500
13,18,1,33,502,498
13,19,1,33,500,500
13,20,1,33,502,498
13,21,1,33,500,500
13,22,1,33,501,499
13,23,1,33,500,500
13,24,1,33,503,497
13,25,1,33,500,500
13,26,1,33,501,499
13,27,1,33,501,499
13,28,1,33,498,502
13,29,1,33,500,500
13,30,1,33,499,501
13,31,1,33,500,500
13,32,1,33,498,502
13,33,1,33,500,500
13,34,1,33,498,502
13,35,1,33,500,500
13,36,1,33,502,498
13,37,1,33,499,501
13,38,1,33,499,501
13,39,1,33,500,500
13,40,1,33,500,500
13,41,1,33,500,500
13,42,1,33,498,502
13,43,1,33,499,501
13,44,1,33,497,503
13,45,1,33,500,500
13,46,1,33,499,501
13,47,1,33,500,500
13,48,1,33,501,499
13,49,1,33,500,500
13,50,1,33,499,501
13,51,1,33,500,500
13,52,1,33,501,499
13,53,1,33,500,500
13,54,1,33,500,500
13,55,1,33,499,501
13,56,1,33,500,500
13,57,1,33,500,500
13,58,1,33,502,498
13,59,1,33,500,500
13,60,1,33,501,499
13,61,1,33,500,500
13,62,1,33,500,500
13,63,1,33,501,499
13,0,2,34,500,500
13,1,2,34,501,499
13,2,2,34,500,500
13,3,2,34,500,500
13,4,2,34,501,499
13,5,2,34,501,499
13,6,2,34,496,504
13,7,2,34,500,500
13,8,2,34,501,499
13,9,2,34,501,499
13,10,2,34,499,501
13,11,2,34,502,498
13,12,2,34,500,500
13,13,2,34,491,509
13,14,2,34,500,500
13,15,2,34,496,504
13,16,2,34,500,500
13,17,2,34,503,497
13,18,2,34,501,499
13,19,2,34,505,495
13,20,2,34,501,499
13,21,2,34,495,505
13,22,2,34,500,500
13,23,2,34,503,497
13,24,2,34,501,499
13,25,2,34,502,498
13,26,2,34,500,500
13,27,2,34,500,500
13,28,2,34,501,499
13,29,2,34,503,497
13,30,2,34,501,499
13,31,2,34,492,508
13,32,2,34,500,500
13,33,2,34,496,504
13,34,2,34,500,500
13,35,2,34,505,495
13,36,2,34,502,498
13,37,2,34,500,500
13,38,2,34,500,500
13,39,2,34,500,500
13,40,2,34,500,500
13,41,2,34,499,501
13,42,2,34,500,500
13,43,2,34,500,500
13,44,2,34,500,500
13,45,2,34,499,501
13,46,2,34,501,499
13,47,2,34,500,500
13,48,2,34,501,499
13,49,2,34,507,493
13,50,2,34,502,498
13,51,2,34,502,498
13,52,2,34,500,500
13,53,2,34,502,498
13,54,2,34,500,500
13,55,2,34,503,497
13,56,2,34,502,498
13,57,2,34,486,514
13,58,2,34,502,498
13,59,2,34,501,499
13,60,2,34,500,500
13,61,2,34,502,498
13,62,2,34,500,500
13,63,2,34,500,500
13,0,3,35,498,502
13,1,3,35,500,500
13,2,3,35,500,500
13,3,3,35,500,500
13,4,3,35,498,502
13,5,3,35,501,499
13,6,3,35,504,496
13,7,3,35,500,500
13,8,3,35,499,501
13,9,3,35,501,499
13,10,3,35,498,502
13,11,3,35,499,501
13,12,3,35,499,501
13,13,3,35,497,503
13,14,3,35,504,496
13,15,3,35,501,499
13,16,3,35,498,502
13,17,3,35,501,499
13,18,3,35,501,499
13,19,3,35,500,500
13,20,3,35,496,504
13,21,3,35,501,499
13,22,3,35,499,501
13,23,3,35,499,501
13,24,3,35,501,499
13,25,3,35,501,499
13,26,3,35,500,500
13,27,3,35,499,501
13,28,3,35,498,502
13,29,3,35,501,499
13,30,3,35,495,505
13,31,3,35,500,500
13,32,3,35,502,498
13,33,3,35,500,500
13,34,3,35,500,500
13,35,3,35,500,500
13,36,3,35,499,501
13,37,3,35,500,500
13,38,3,35,499,501
13,39,3,35,500,500
13,40,3,35,500,500
13,41,3,35,501,499
13,42,3,35,496,504
13,43,3,35,499,501
13,44,3,35,498,502
13,45,3,35,501,499
13,46,3,35,500,500
13,47,3,35,500,500
13,48,3,35,502,498
13,49,3,35,500,500
13,50,3,35,501,499
13,51,3,35,500,500
13,52,3,35,501,499
13,53,3,35,501,499
13,54,3,35,500,500
13,55,3,35,500,500
13,56,3,35,498,502
13,57,3,35,500,500
13,58,3,35,499,501
13,59,3,35,499,501
13,60,3,35,502,498
13,61,3,35,499,501
13,62,3,35,501,499
13,63,3,35,501,499
13,0,4,36,501,499
13,1,4,36,500,500
13,2,4,36,499,501
13,3,4,36,501,499
13,4,4,36,500,500
13,5,4,36,502,498
13,6,4,36,500,500
13,7,4,36,503,497
13,8,4,36,501,499
13,9,4,36,499,501
13,10,4,36,500,500
13,11,4,36,505,495
13,12,4,36,500,500
13,13,4,36,501,499
13,14,4,36,500,500
13,15,4,36,502,498
13,16,4,36,501,499
13,17,4,36,500,500
13,18,4,36,500,500
13,19,4,36,497,503
13,20,4,36,501,499
13,21,4,36,501,499
13,22,4,36,500,500
13,23,4,36,499,501
13,24,4,36,500,500
13,25,4,36,497,503
13,26,4,36,500,500
13,27,4,36,500,500
13,28,4,36,500,500
13,29,4,36,499,501
13,30,4,36,500,500
13,31,4,36,500,500
13,32,4,36,500,500
13,33,4,36,498,502
13,34,4,36,500,500
13,35,4,36,501,499
13,36,4,36,500,500
13,37,4,36,500,500
13,38,4,36,499,501
13,39,4,36,501,499
13,40,4,36,498,502
13,41,4,36,499,501
13,42,4,36,500,500
13,43,4,36,501,499
13,44,4,36,502,498
13,45,4,36,499,501
13,46,4,36,500,500
13,47,4,36,501,499
13,48,4,36,500,500
13,49,4,36,501,499
13,50,4,36,500,500
13,51,4,36,500,500
13,52,4,36,500,500
13,53,4,36,501,499
13,54,4,36,499,501
