test_num,itteration,pinned_thread,thread1,thread2,thread1_wins,thread2_wins
13,1,0,0,6,500,500
13,1,1,0,6,502,498
13,1,2,0,6,500,500
13,1,3,0,6,500,500
13,1,4,0,6,503,497
13,1,5,0,6,487,513
13,1,6,0,6,500,500
13,1,7,0,6,500,500
13,1,8,0,6,500,500
13,1,9,0,6,502,498
13,1,10,0,6,504,496
13,1,11,0,6,502,498
13,2,0,0,6,500,500
13,2,1,0,6,501,499
13,2,2,0,6,500,500
13,2,3,0,6,500,500
13,2,4,0,6,501,499
13,2,5,0,6,500,500
13,2,6,0,6,500,500
13,2,7,0,6,499,501
13,2,8,0,6,500,500
13,2,9,0,6,500,500
13,2,10,0,6,500,500
13,2,11,0,6,503,497
13,3,0,0,6,500,500
13,3,1,0,6,500,500
13,3,2,0,6,500,500
13,3,3,0,6,500,500
13,3,4,0,6,501,499
13,3,5,0,6,500,500
13,3,6,0,6,499,501
13,3,7,0,6,499,501
13,3,8,0,6,500,500
13,3,9,0,6,499,501
13,3,10,0,6,500,500
13,3,11,0,6,500,500
13,1,0,1,7,500,500
13,1,1,1,7,500,500
13,1,2,1,7,499,501
13,1,3,1,7,500,500
13,1,4,1,7,500,500
13,1,5,1,7,500,500
13,1,6,1,7,500,500
13,1,7,1,7,500,500
13,1,8,1,7,499,501
13,1,9,1,7,501,499
13,1,10,1,7,501,499
13,1,11,1,7,502,498
13,2,0,1,7,499,501
13,2,1,1,7,500,500
13,2,2,1,7,499,501
13,2,3,1,7,502,498
13,2,4,1,7,500,500
13,2,5,1,7,501,499
13,2,6,1,7,500,500
13,2,7,1,7,500,500
13,2,8,1,7,501,499
13,2,9,1,7,500,500
13,2,10,1,7,495,505
13,2,11,1,7,501,499
13,3,0,1,7,500,500
13,3,1,1,7,491,509
13,3,2,1,7,500,500
13,3,3,1,7,499,501
13,3,4,1,7,501,499
13,3,5,1,7,499,501
13,3,6,1,7,501,499
13,3,7,1,7,499,501
13,3,8,1,7,500,500
13,3,9,1,7,504,496
13,3,10,1,7,499,501
13,3,11,1,7,504,496
13,1,0,2,8,501,499
13,1,1,2,8,499,501
13,1,2,2,8,500,500
13,1,3,2,8,500,500
13,1,4,2,8,497,503
13,1,5,2,8,500,500
13,1,6,2,8,504,496
13,1,7,2,8,499,501
13,1,8,2,8,500,500
13,1,9,2,8,500,500
13,1,10,2,8,500,500
13,1,11,2,8,500,500
13,2,0,2,8,499,501
13,2,1,2,8,500,500
13,2,2,2,8,500,500
13,2,3,2,8,499,501
13,2,4,2,8,501,499
13,2,5,2,8,500,500
13,2,6,2,8,500,500
13,2,7,2,8,500,500
13,2,8,2,8,500,500
13,2,9,2,8,499,501
13,2,10,2,8,500,500
13,2,11,2,8,501,499
13,3,0,2,8,500,500
13,3,1,2,8,502,498
13,3,2,2,8,500,500
13,3,3,2,8,498,502
13,3,4,2,8,502,498
13,3,5,2,8,500,500
13,3,6,2,8,501,499
13,3,7,2,8,499,501
13,3,8,2,8,499,501
13,3,9,2,8,500,500
13,3,10,2,8,500,500
13,3,11,2,8,500,500
13,1,0,3,9,500,500
13,1,1,3,9,500,500
13,1,2,3,9,499,501
13,1,3,3,9,500,500
13,1,4,3,9,503,497
13,1,5,3,9,502,498
13,1,6,3,9,500,500
13,1,7,3,9,500,500
13,1,8,3,9,500,500
13,1,9,3,9,500,500
13,1,10,3,9,500,500
13,1,11,3,9,500,500
13,2,0,3,9,503,497
13,2,1,3,9,499,501
13,2,2,3,9,500,500
13,2,3,3,9,501,499
13,2,4,3,9,500,500
13,2,5,3,9,500,500
13,2,6,3,9,501,499
13,2,7,3,9,501,499
13,2,8,3,9,502,498
13,2,9,3,9,500,500
13,2,10,3,9,499,501
13,2,11,3,9,500,500
13,3,0,3,9,499,501
13,3,1,3,9,495,505
13,3,2,3,9,501,499
13,3,3,3,9,500,500
13,3,4,3,9,501,499
13,3,5,3,9,498,502
13,3,6,3,9,502,498
13,3,7,3,9,500,500
13,3,8,3,9,498,502
13,3,9,3,9,500,500
13,3,10,3,9,500,500
13,3,11,3,9,498,502
13,1,0,4,10,499,501
13,1,1,4,10,499,501
13,1,2,4,10,502,498
13,1,3,4,10,500,500
13,1,4,4,10,500,500
13,1,5,4,10,501,499
13,1,6,4,10,501,499
13,1,7,4,10,500,500
13,1,8,4,10,502,498
13,1,9,4,10,500,500
13,1,10,4,10,500,500
13,1,11,4,10,501,499
13,2,0,4,10,501,499
13,2,1,4,10,500,500
13,2,2,4,10,498,502
13,2,3,4,10,500,500
13,2,4,4,10,500,500
13,2,5,4,10,500,500
13,2,6,4,10,500,500
13,2,7,4,10,500,500
13,2,8,4,10,500,500
13,2,9,4,10,501,499
13,2,10,4,10,500,500
13,2,11,4,10,499,501
13,3,0,4,10,500,500
13,3,1,4,10,499,501
13,3,2,4,10,500,500
13,3,3,4,10,502,498
13,3,4,4,10,500,500
13,3,5,4,10,501,499
13,3,6,4,10,499,501
13,3,7,4,10,500,500
13,3,8,4,10,500,500
13,3,9,4,10,500,500
13,3,10,4,10,500,500
13,3,11,4,10,500,500
13,1,0,5,11,499,501
13,1,1,5,11,500,500
13,1,2,5,11,500,500
13,1,3,5,11,500,500
13,1,4,5,11,499,501
13,1,5,5,11,500,500
13,1,6,5,11,501,499
13,1,7,5,11,499,501
13,1,8,5,11,500,500
13,1,9,5,11,500,500
13,1,10,5,11,500,500
13,1,11,5,11,500,500
13,2,0,5,11,499,501
13,2,1,5,11,498,502
13,2,2,5,11,501,499
13,2,3,5,11,501,499
13,2,4,5,11,500,500
13,2,5,5,11,500,500
13,2,6,5,11,499,501
13,2,7,5,11,499,501
13,2,8,5,11,500,500
13,2,9,5,11,500,500
13,2,10,5,11,499,501
13,2,11,5,11,500,500
13,3,0,5,11,494,506
13,3,1,5,11,500,500
13,3,2,5,11,497,503
13,3,3,5,11,499,501
13,3,4,5,11,499,501
13,3,5,5,11,500,500
13,3,6,5,11,501,499
13,3,7,5,11,498,502
13,3,8,5,11,501,499
13,3,9,5,11,499,501
13,3,10,5,11,500,500
13,3,11,5,11,499,501
14,1,0,0,6,500,500
14,1,1,0,6,500,500
14,1,2,0,6,500,500
14,1,3,0,6,500,500
14,1,4,0,6,498,502
14,1,5,0,6,500,500
14,1,6,0,6,500,500
14,1,7,0,6,499,501
14,1,8,0,6,501,499
14,1,9,0,6,500,500
14,1,10,0,6,500,500
14,1,11,0,6,500,500
14,2,0,0,6,500,500
14,2,1,0,6,499,501
14,2,2,0,6,500,500
14,2,3,0,6,500,500
14,2,4,0,6,498,502
14,2,5,0,6,497,503
14,2,6,0,6,500,500
14,2,7,0,6,499,501
14,2,8,0,6,500,500
14,2,9,0,6,500,500
14,2,10,0,6,500,500
14,2,11,0,6,502,498
14,3,0,0,6,500,500
14,3,1,0,6,499,501
14,3,2,0,6,500,500
14,3,3,0,6,500,500
14,3,4,0,6,505,495
14,3,5,0,6,499,501
14,3,6,0,6,501,499
14,3,7,0,6,500,500
14,3,8,0,6,499,501
14,3,9,0,6,500,500
14,3,10,0,6,497,503
14,3,11,0,6,501,499
14,1,0,1,7,500,500
14,1,1,1,7,500,500
14,1,2,1,7,534,466
14,1,3,1,7,501,499
14,1,4,1,7,501,499
14,1,5,1,7,500,500
14,1,6,1,7,500,500
14,1,7,1,7,500,500
14,1,8,1,7,501,499
14,1,9,1,7,501,499
14,1,10,1,7,501,499
14,1,11,1,7,500,500
14,2,0,1,7,500,500
14,2,1,1,7,501,499
14,2,2,1,7,501,499
14,2,3,1,7,497,503
14,2,4,1,7,499,501
14,2,5,1,7,501,499
14,2,6,1,7,500,500
14,2,7,1,7,500,500
14,2,8,1,7,501,499
14,2,9,1,7,498,502
14,2,10,1,7,501,499
14,2,11,1,7,500,500
14,3,0,1,7,500,500
14,3,1,1,7,500,500
14,3,2,1,7,501,499
14,3,3,1,7,500,500
14,3,4,1,7,500,500
14,3,5,1,7,502,498
14,3,6,1,7,501,499
14,3,7,1,7,500,500
14,3,8,1,7,500,500
14,3,9,1,7,499,501
14,3,10,1,7,501,499
14,3,11,1,7,501,499
14,1,0,2,8,500,500
14,1,1,2,8,500,500
14,1,2,2,8,500,500
14,1,3,2,8,501,499
14,1,4,2,8,500,500
14,1,5,2,8,500,500
14,1,6,2,8,500,500
14,1,7,2,8,499,501
14,1,8,2,8,525,475
14,1,9,2,8,499,501
14,1,10,2,8,500,500
14,1,11,2,8,501,499
14,2,0,2,8,500,500
14,2,1,2,8,500,500
14,2,2,2,8,500,500
14,2,3,2,8,501,499
14,2,4,2,8,499,501
14,2,5,2,8,500,500
14,2,6,2,8,500,500
14,2,7,2,8,500,500
14,2,8,2,8,500,500
14,2,9,2,8,501,499
14,2,10,2,8,499,501
14,2,11,2,8,499,501
14,3,0,2,8,500,500
14,3,1,2,8,499,501
14,3,2,2,8,500,500
14,3,3,2,8,501,499
14,3,4,2,8,500,500
14,3,5,2,8,501,499
14,3,6,2,8,500,500
14,3,7,2,8,500,500
14,3,8,2,8,500,500
14,3,9,2,8,501,499
14,3,10,2,8,500,500
14,3,11,2,8,500,500
14,1,0,3,9,500,500
14,1,1,3,9,501,499
14,1,2,3,9,500,500
14,1,3,3,9,500,500
14,1,4,3,9,500,500
14,1,5,3,9,500,500
14,1,6,3,9,500,500
14,1,7,3,9,500,500
