test_num,pair,a,b,rows,tot_wins_a,tot_wins_b,jain,mode
13,0-6,0,6,2,3001,2999,0.9999998888889012,pair_seeds
13,1-7,1,7,2,3001,2999,0.9999998888889012,pair_seeds
13,2-8,2,8,2,3000,3000,1.0,pair_seeds
13,3-9,3,9,2,3001,2999,0.9999998888889012,pair_seeds
13,4-10,4,10,2,3000,3000,1.0,pair_seeds
13,5-11,5,11,2,3003,2997,0.999999000001,pair_seeds
14,0-6,0,6,2,3002,2998,0.999999555555753,pair_seeds
14,1-7,1,7,2,3001,2999,0.9999998888889012,pair_seeds
14,2-8,2,8,2,3000,3000,1.0,pair_seeds
14,3-9,3,9,2,3001,2999,0.9999998888889012,pair_seeds
14,4-10,4,10,2,3001,2999,0.9999998888889012,pair_seeds
14,5-11,5,11,2,2999,3001,0.9999998888889012,pair_seeds
15,0-6,0,6,2,2997,3003,0.999999000001,pair_seeds
15,1-7,1,7,2,2998,3002,0.999999555555753,pair_seeds
15,2-8,2,8,2,3000,3000,1.0,pair_seeds
15,3-9,3,9,2,3001,2999,0.9999998888889012,pair_seeds
15,4-10,4,10,2,2989,3011,0.9999865557363062,pair_seeds
15,5-11,5,11,2,3000,3000,1.0,pair_seeds
34,0-6,0,6,2,3001,2999,0.9999998888889012,pair_seeds
34,1-7,1,7,2,3000,3000,1.0,pair_seeds
34,2-8,2,8,2,3000,3000,1.0,pair_seeds
34,3-9,3,9,2,2999,3001,0.9999998888889012,pair_seeds
34,4-10,4,10,2,3001,2999,0.9999998888889012,pair_seeds
34,5-11,5,11,2,3000,3000,1.0,pair_seeds
13,0-6,0,6,12,18001,17999,0.9999999969135802,all_seeds
13,1-7,1,7,12,17995,18005,0.9999999228395121,all_seeds
13,2-8,2,8,12,17997,18003,0.999999972222223,all_seeds
13,3-9,3,9,12,18019,17981,0.9999988858037105,all_seeds
13,4-10,4,10,12,18015,17985,0.9999993055560378,all_seeds
13,5-11,5,11,12,18003,17997,0.999999972222223,all_seeds
14,0-6,0,6,12,17999,18001,0.9999999969135802,all_seeds
14,1-7,1,7,12,18009,17991,0.9999997500000625,all_seeds
14,2-8,2,8,12,18050,17950,0.9999922840101543,all_seeds
14,3-9,3,9,12,18008,17992,0.9999998024691749,all_seeds
14,4-10,4,10,12,18020,17980,0.9999987654336229,all_seeds
14,5-11,5,11,12,18010,17990,0.99999969135812,all_seeds
15,0-6,0,6,12,18002,17998,0.9999999876543212,all_seeds
15,1-7,1,7,12,17997,18003,0.999999972222223,all_seeds
15,2-8,2,8,12,18019,17981,0.9999988858037105,all_seeds
15,3-9,3,9,12,18010,17990,0.99999969135812,all_seeds
15,4-10,4,10,12,17986,18014,0.9999993950620943,all_seeds
15,5-11,5,11,12,18013,17987,0.9999994783953338,all_seeds
34,0-6,0,6,12,18001,17999,0.9999999969135802,all_seeds
34,1-7,1,7,12,18012,17988,0.999999555555753,all_seeds
34,2-8,2,8,12,18017,17983,0.999999108025487,all_seeds
34,3-9,3,9,12,18006,17994,0.9999998888889012,all_seeds
34,4-10,4,10,12,17989,18011,0.9999996265433494,all_seeds
34,5-11,5,11,12,18009,17991,0.9999997500000625,all_seeds
