test_num,pinned_thread,thread1,thread2,thread1_wins,thread2_wins
13,0,0,6,500,500
13,1,0,6,506,494
13,2,0,6,500,500
13,3,0,6,496,504
13,4,0,6,500,500
13,5,0,6,502,498
13,6,0,6,500,500
13,7,0,6,499,501
13,8,0,6,500,500
13,9,0,6,501,499
13,10,0,6,499,501
13,11,0,6,500,500
13,0,1,7,500,500
13,1,1,7,500,500
13,2,1,7,500,500
13,3,1,7,501,499
13,4,1,7,499,501
13,5,1,7,493,507
13,6,1,7,505,495
13,7,1,7,500,500
13,8,1,7,501,499
13,9,1,7,499,501
13,10,1,7,498,502
13,11,1,7,503,497
13,0,2,8,499,501
13,1,2,8,501,499
13,2,2,8,500,500
13,3,2,8,500,500
13,4,2,8,500,500
13,5,2,8,502,498
13,6,2,8,501,499
13,7,2,8,499,501
13,8,2,8,500,500
13,9,2,8,501,499
13,10,2,8,500,500
13,11,2,8,501,499
13,0,3,9,500,500
13,1,3,9,502,498
13,2,3,9,501,499
13,3,3,9,501,499
13,4,3,9,500,500
13,5,3,9,500,500
13,6,3,9,499,501
13,7,3,9,504,496
13,8,3,9,500,500
13,9,3,9,500,500
13,10,3,9,500,500
13,11,3,9,500,500
13,0,4,10,499,501
13,1,4,10,496,504
13,2,4,10,500,500
13,3,4,10,500,500
13,4,4,10,500,500
13,5,4,10,499,501
13,6,4,10,500,500
13,7,4,10,500,500
13,8,4,10,500,500
13,9,4,10,500,500
13,10,4,10,500,500
