repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,20,0,0,13.0,14.2
0,0,20,0,7,10.0,0.3
0,0,20,0,13,13.7,37.5
0,0,20,0,14,0.1,132.2
0,0,20,0,15,13.6,37.3
0,0,20,0,34,0.8,275.5
0,0,20,7,0,0.1,13.0
0,0,20,7,7,0.8,1.8
0,0,20,7,13,0.0,36.0
0,0,20,7,14,0.8,132.3
0,0,20,7,15,0.8,35.0
0,0,20,7,34,0.1,274.1
0,0,20,13,0,61.1,16.1
0,0,20,13,7,47.8,0.4
0,0,20,13,13,50.8,36.7
0,0,20,13,14,67.6,133.0
0,0,20,13,15,46.4,34.1
0,0,20,13,34,55.8,307.8
0,0,20,14,0,82.5,2.9
0,0,20,14,7,61.5,1.0
0,0,20,14,13,73.9,35.2
0,0,20,14,14,79.1,129.4
0,0,20,14,15,80.6,36.2
0,0,20,14,34,78.1,308.7
0,0,20,15,0,58.2,15.8
0,0,20,15,7,52.1,1.2
0,0,20,15,13,58.3,35.6
0,0,20,15,14,46.0,116.6
0,0,20,15,15,52.2,36.0
0,0,20,15,34,51.0,260.0
0,0,20,34,0,188.8,1.8
0,0,20,34,7,182.2,0.1
0,0,20,34,13,138.8,35.1
0,0,20,34,14,195.6,130.8
0,0,20,34,15,155.2,33.8
0,0,20,34,34,189.6,296.8
0,1,21,0,0,15.8,16.8
0,1,21,0,7,12.0,0.3
0,1,21,0,13,14.0,35.1
0,1,21,0,14,1.6,95.9
0,1,21,0,15,14.2,34.8
0,1,21,0,34,0.1,271.0
0,1,21,7,0,0.0,14.3
0,1,21,7,7,0.0,0.1
0,1,21,7,13,0.8,34.9
0,1,21,7,14,1.5,156.5
0,1,21,7,15,0.8,36.7
0,1,21,7,34,0.0,263.1
0,1,21,13,0,58.8,15.3
0,1,21,13,7,54.2,0.4
0,1,21,13,13,56.3,34.9
0,1,21,13,14,50.6,114.9
0,1,21,13,15,53.3,35.0
0,1,21,13,34,50.1,300.9
0,1,21,14,0,82.6,2.8
0,1,21,14,7,58.9,0.9
0,1,21,14,13,59.8,33.5
0,1,21,14,14,78.7,131.5
0,1,21,14,15,75.8,33.9
0,1,21,14,34,81.5,314.3
0,1,21,15,0,50.0,17.0
0,1,21,15,7,49.1,1.2
0,1,21,15,13,52.7,34.3
0,1,21,15,14,53.4,127.4
0,1,21,15,15,49.6,35.7
0,1,21,15,34,58.5,287.6
0,1,21,34,0,202.5,0.8
0,1,21,34,7,194.3,0.9
0,1,21,34,13,141.6,35.0
0,1,21,34,14,214.9,150.5
0,1,21,34,15,147.3,35.2
0,1,21,34,34,191.1,290.6
0,2,22,0,0,13.6,17.5
0,2,22,0,7,13.0,2.0
0,2,22,0,13,16.0,36.2
0,2,22,0,14,1.6,114.8
0,2,22,0,15,14.1,34.4
0,2,22,0,34,0.8,319.8
0,2,22,7,0,0.0,14.2
0,2,22,7,7,1.6,1.8
0,2,22,7,13,0.0,34.8
0,2,22,7,14,1.5,134.0
0,2,22,7,15,1.5,34.9
0,2,22,7,34,0.0,259.4
0,2,22,13,0,59.4,15.4
0,2,22,13,7,57.7,1.2
0,2,22,13,13,53.5,33.6
0,2,22,13,14,58.8,132.9
0,2,22,13,15,48.0,34.5
0,2,22,13,34,69.3,299.8
0,2,22,14,0,76.7,1.8
0,2,22,14,7,72.0,0.1
0,2,22,14,13,72.9,34.0
0,2,22,14,14,90.6,136.9
0,2,22,14,15,67.3,34.8
0,2,22,14,34,79.3,319.4
0,2,22,15,0,60.1,17.6
0,2,22,15,7,45.4,1.5
0,2,22,15,13,57.5,34.9
0,2,22,15,14,56.2,130.8
0,2,22,15,15,53.7,34.7
0,2,22,15,34,56.0,282.1
0,2,22,34,0,205.1,0.8
0,2,22,34,7,191.4,1.8
0,2,22,34,13,153.9,34.3
0,2,22,34,14,224.1,130.7
0,2,22,34,15,150.3,34.4
0,2,22,34,34,207.5,294.4
0,3,23,0,0,14.6,15.6
0,3,23,0,7,12.5,1.2
0,3,23,0,13,15.1,35.7
0,3,23,0,14,0.8,116.9
0,3,23,0,15,13.9,36.7
0,3,23,0,34,0.8,263.1
0,3,23,7,0,0.8,14.5
0,3,23,7,7,0.8,1.8
0,3,23,7,13,0.0,35.2
0,3,23,7,14,1.5,117.5
