repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,20,0,0,14.7,16.2
0,0,20,0,7,10.6,0.3
0,0,20,0,12,6.7,42.5
0,0,20,0,13,12.4,34.8
0,0,20,0,14,0.1,105.6
0,0,20,0,15,13.7,34.5
0,0,20,0,34,1.6,250.0
0,0,20,7,0,1.5,11.7
0,0,20,7,7,1.5,0.7
0,0,20,7,12,0.8,53.5
0,0,20,7,13,0.8,35.5
0,0,20,7,14,0.1,131.4
0,0,20,7,15,0.8,37.0
0,0,20,7,34,0.1,250.9
0,0,20,12,0,51.8,14.7
0,0,20,12,7,57.6,0.4
0,0,20,12,12,47.8,51.9
0,0,20,12,13,52.7,36.7
0,0,20,12,14,52.1,160.6
0,0,20,12,15,54.0,34.4
0,0,20,12,34,64.4,286.8
0,0,20,13,0,57.0,15.6
0,0,20,13,7,54.3,1.2
0,0,20,13,12,56.4,57.7
0,0,20,13,13,53.7,33.9
0,0,20,13,14,52.6,122.4
0,0,20,13,15,54.2,36.3
0,0,20,13,34,48.1,284.1
0,0,20,14,0,89.2,1.8
0,0,20,14,7,51.3,0.7
0,0,20,14,12,71.0,50.7
0,0,20,14,13,77.8,35.7
0,0,20,14,14,70.2,106.8
0,0,20,14,15,92.5,34.0
0,0,20,14,34,82.0,310.7
0,0,20,15,0,52.3,15.4
0,0,20,15,7,43.8,0.9
0,0,20,15,12,56.5,55.2
0,0,20,15,13,48.7,34.7
0,0,20,15,14,53.8,121.1
0,0,20,15,15,54.5,36.0
0,0,20,15,34,50.5,267.8
0,0,20,34,0,210.9,1.9
0,0,20,34,7,179.4,1.0
0,0,20,34,12,165.9,61.0
0,0,20,34,13,174.3,34.2
0,0,20,34,14,194.1,116.5
0,0,20,34,15,163.0,34.1
0,0,20,34,34,193.1,288.0
0,1,21,0,0,15.0,16.2
0,1,21,0,7,11.5,0.3
0,1,21,0,12,13.6,56.9
0,1,21,0,13,13.9,34.2
0,1,21,0,14,0.8,130.3
0,1,21,0,15,13.2,35.3
0,1,21,0,34,0.8,293.6
0,1,21,7,0,0.0,13.6
0,1,21,7,7,1.6,0.1
0,1,21,7,12,1.6,58.0
0,1,21,7,13,0.8,35.7
0,1,21,7,14,0.8,138.3
0,1,21,7,15,1.6,35.7
0,1,21,7,34,0.0,290.2
0,1,21,12,0,48.4,15.8
0,1,21,12,7,57.0,1.2
0,1,21,12,12,57.1,55.0
0,1,21,12,13,53.0,35.2
0,1,21,12,14,68.5,133.2
0,1,21,12,15,50.6,33.7
0,1,21,12,34,47.5,260.9
0,1,21,13,0,55.5,17.0
0,1,21,13,7,51.5,1.2
0,1,21,13,12,50.3,48.9
0,1,21,13,13,52.7,35.0
0,1,21,13,14,54.3,160.0
0,1,21,13,15,57.8,34.3
0,1,21,13,34,63.7,316.1
0,1,21,14,0,84.3,0.8
0,1,21,14,7,75.9,0.1
0,1,21,14,12,79.8,59.3
0,1,21,14,13,72.0,34.5
0,1,21,14,14,70.5,108.2
0,1,21,14,15,88.5,35.0
0,1,21,14,34,75.2,300.2
0,1,21,15,0,53.8,17.7
0,1,21,15,7,56.2,0.3
0,1,21,15,12,58.6,65.0
0,1,21,15,13,56.5,35.2
0,1,21,15,14,51.5,132.7
0,1,21,15,15,55.0,36.3
0,1,21,15,34,51.7,295.1
0,1,21,34,0,194.4,1.8
0,1,21,34,7,190.9,1.0
0,1,21,34,12,142.6,49.8
0,1,21,34,13,174.4,34.9
0,1,21,34,14,200.4,116.7
0,1,21,34,15,161.5,34.6
0,1,21,34,34,223.2,317.4
0,2,22,0,0,14.3,15.2
0,2,22,0,7,12.1,0.3
0,2,22,0,12,13.8,51.2
0,2,22,0,13,14.1,35.3
0,2,22,0,14,0.8,131.3
0,2,22,0,15,15.7,34.5
0,2,22,0,34,0.8,287.6
0,2,22,7,0,0.8,14.1
0,2,22,7,7,0.8,0.1
0,2,22,7,12,0.0,57.5
0,2,22,7,13,1.5,36.3
0,2,22,7,14,0.0,135.1
0,2,22,7,15,0.0,34.8
0,2,22,7,34,0.1,238.6
0,2,22,12,0,57.3,16.9
0,2,22,12,7,56.9,2.0
0,2,22,12,12,57.3,57.8
0,2,22,12,13,52.9,33.4
0,2,22,12,14,65.6,134.3
0,2,22,12,15,57.7,36.1
0,2,22,12,34,66.1,298.1
0,2,22,13,0,60.9,15.9
0,2,22,13,7,46.2,1.2
0,2,22,13,12,56.6,56.7
0,2,22,13,13,54.8,34.6
0,2,22,13,14,54.4,137.7
0,2,22,13,15,56.5,36.1
0,2,22,13,34,66.1,303.2
0,2,22,14,0,66.0,0.8
0,2,22,14,7,72.5,0.1
0,2,22,14,12,70.0,50.8
0,2,22,14,13,89.8,34.9
0,2,22,14,14,84.6,118.8
0,2,22,14,15,80.3,34.2
0,2,22,14,34,82.0,316.9
0,2,22,15,0,60.2,14.7
0,2,22,15,7,55.9,0.3
0,2,22,15,12,53.7,54.2
0,2,22,15,13,54.1,35.2
0,2,22,15,14,55.0,136.4
0,2,22,15,15,62.6,35.1
0,2,22,15,34,55.2,289.7
0,2,22,34,0,209.2,1.8
0,2,22,34,7,163.5,0.9
0,2,22,34,12,167.7,54.8
0,2,22,34,13,173.0,35.1
0,2,22,34,14,211.9,134.8
0,2,22,34,15,141.3,34.4
0,2,22,34,34,208.4,322.8
0,3,23,0,0,15.2,16.4
0,3,23,0,7,11.2,2.0
