repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,16,0,0,12.4,13.2
0,0,16,0,7,10.1,1.3
0,0,16,0,12,25.6,73.9
0,0,16,0,13,25.9,49.2
0,0,16,0,14,0.7,142.2
0,0,16,0,15,26.2,68.5
0,0,16,0,34,2.1,469.7
0,0,16,7,0,2.9,26.0
0,0,16,7,7,7.3,10.0
0,0,16,7,12,8.9,63.3
0,0,16,7,13,13.7,47.5
0,0,16,7,14,2.1,206.5
0,0,16,7,15,23.1,82.0
0,0,16,7,34,0.2,338.6
0,0,16,12,0,49.5,26.2
0,0,16,12,7,87.7,23.8
0,0,16,12,12,45.3,60.9
0,0,16,12,13,42.3,40.4
0,0,16,12,14,54.3,141.7
0,0,16,12,15,107.4,123.8
0,0,16,12,34,46.8,410.7
0,0,16,13,0,37.3,26.2
0,0,16,13,7,52.8,28.6
0,0,16,13,12,93.9,141.0
0,0,16,13,13,62.4,77.0
0,0,16,13,14,36.6,164.8
0,0,16,13,15,101.0,141.7
0,0,16,13,34,44.6,443.8
0,0,16,14,0,116.0,1.1
0,0,16,14,7,150.8,12.8
0,0,16,14,12,129.8,73.6
0,0,16,14,13,131.3,59.3
0,0,16,14,14,126.6,238.1
0,0,16,14,15,150.5,99.2
0,0,16,14,34,65.6,277.7
0,0,16,15,0,50.0,26.0
0,0,16,15,7,89.3,24.6
0,0,16,15,12,98.3,135.7
0,0,16,15,13,48.8,47.6
0,0,16,15,14,48.5,161.7
0,0,16,15,15,125.2,151.7
0,0,16,15,34,45.5,421.8
0,0,16,34,0,329.3,1.6
0,0,16,34,7,85.3,1.0
0,0,16,34,12,294.0,76.1
0,0,16,34,13,324.2,50.8
0,0,16,34,14,176.4,102.9
0,0,16,34,15,330.4,75.9
0,0,16,34,34,159.8,231.6
0,1,17,0,0,12.6,12.8
0,1,17,0,7,10.6,1.4
0,1,17,0,12,25.3,70.6
0,1,17,0,13,35.2,70.9
0,1,17,0,14,0.9,127.1
0,1,17,0,15,25.7,66.4
0,1,17,0,34,0.8,307.8
0,1,17,7,0,16.0,34.7
0,1,17,7,7,4.7,4.6
0,1,17,7,12,19.4,108.1
0,1,17,7,13,12.7,61.4
0,1,17,7,14,0.9,134.9
0,1,17,7,15,13.9,69.2
0,1,17,7,34,0.2,309.5
0,1,17,12,0,50.5,25.8
0,1,17,12,7,45.7,14.5
0,1,17,12,12,121.8,147.5
0,1,17,12,13,43.0,40.1
0,1,17,12,14,55.3,157.5
0,1,17,12,15,86.0,100.3
0,1,17,12,34,53.5,428.4
0,1,17,13,0,41.4,22.9
0,1,17,13,7,37.4,9.8
0,1,17,13,12,36.6,67.8
0,1,17,13,13,38.5,44.0
0,1,17,13,14,41.8,155.5
0,1,17,13,15,101.8,152.9
0,1,17,13,34,44.9,460.0
0,1,17,14,0,164.0,1.4
0,1,17,14,7,125.2,1.4
0,1,17,14,12,127.2,84.4
0,1,17,14,13,135.3,52.4
0,1,17,14,14,58.4,93.8
0,1,17,14,15,133.7,73.7
0,1,17,14,34,43.6,159.2
0,1,17,15,0,48.6,27.8
0,1,17,15,7,79.4,14.8
0,1,17,15,12,136.3,169.6
0,1,17,15,13,124.6,110.1
0,1,17,15,14,49.0,158.8
0,1,17,15,15,85.2,108.0
0,1,17,15,34,52.0,427.6
0,1,17,34,0,354.7,0.8
0,1,17,34,7,294.1,14.7
0,1,17,34,12,350.5,79.5
0,1,17,34,13,327.5,54.8
0,1,17,34,14,177.8,95.1
0,1,17,34,15,307.8,69.4
0,1,17,34,34,171.8,264.3
0,2,18,0,0,12.9,13.1
0,2,18,0,7,10.6,1.4
0,2,18,0,12,25.9,72.6
0,2,18,0,13,25.6,48.6
0,2,18,0,14,1.7,180.5
0,2,18,0,15,30.5,80.4
0,2,18,0,34,2.0,442.6
0,2,18,7,0,0.1,10.2
0,2,18,7,7,25.8,20.4
0,2,18,7,12,13.7,82.4
0,2,18,7,13,20.8,86.9
0,2,18,7,14,9.0,175.5
0,2,18,7,15,18.3,107.4
0,2,18,7,34,0.1,367.3
0,2,18,12,0,53.1,18.2
0,2,18,12,7,43.4,14.6
0,2,18,12,12,49.3,62.6
0,2,18,12,13,47.1,44.3
0,2,18,12,14,58.7,92.9
0,2,18,12,15,116.6,142.5
0,2,18,12,34,54.5,453.7
0,2,18,13,0,62.0,39.5
0,2,18,13,7,35.9,5.4
0,2,18,13,12,33.6,55.9
0,2,18,13,13,37.5,47.9
0,2,18,13,14,37.3,146.8
0,2,18,13,15,83.1,126.9
0,2,18,13,34,39.7,464.6
0,2,18,14,0,158.3,0.3
0,2,18,14,7,100.7,1.9
0,2,18,14,12,123.5,85.9
0,2,18,14,13,133.8,48.7
0,2,18,14,14,67.4,135.7
0,2,18,14,15,137.9,91.1
0,2,18,14,34,101.1,434.0
0,2,18,15,0,49.9,22.3
0,2,18,15,7,84.9,23.1
0,2,18,15,12,89.6,119.8
0,2,18,15,13,95.1,82.7
0,2,18,15,14,60.9,153.1
0,2,18,15,15,94.2,119.8
0,2,18,15,34,50.7,388.9
0,2,18,34,0,270.7,1.2
0,2,18,34,7,233.3,1.9
0,2,18,34,12,295.8,89.2
0,2,18,34,13,316.2,56.8
0,2,18,34,14,240.5,150.6
0,2,18,34,15,314.6,70.2
0,2,18,34,34,319.6,486.3
0,3,19,0,0,12.9,13.3
0,3,19,0,7,10.6,1.4
0,3,19,0,12,25.3,72.8
0,3,19,0,13,26.0,51.5
0,3,19,0,14,0.8,135.4
0,3,19,0,15,25.1,69.6
0,3,19,0,34,1.6,434.2
0,3,19,7,0,0.3,9.3
0,3,19,7,7,19.5,14.0
0,3,19,7,12,14.3,74.2
0,3,19,7,13,17.4,47.9
0,3,19,7,14,0.2,135.5
0,3,19,7,15,28.4,116.6
0,3,19,7,34,2.7,295.6
0,3,19,12,0,49.7,18.9
0,3,19,12,7,96.1,25.4
0,3,19,12,12,76.0,99.1
0,3,19,12,13,94.1,89.3
0,3,19,12,14,59.9,161.3
0,3,19,12,15,89.4,115.8
0,3,19,12,34,66.0,470.9
0,3,19,13,0,43.3,25.4
0,3,19,13,7,66.7,24.6
0,3,19,13,12,35.3,63.6
0,3,19,13,13,37.1,48.4
0,3,19,13,14,36.4,119.1
0,3,19,13,15,90.3,137.2
0,3,19,13,34,36.8,398.4
0,3,19,14,0,155.5,1.6
0,3,19,14,7,119.4,1.5
0,3,19,14,12,145.4,80.0
0,3,19,14,13,136.6,48.4
0,3,19,14,14,58.4,96.2
0,3,19,14,15,145.3,81.5
0,3,19,14,34,110.4,466.8
0,3,19,15,0,57.2,24.9
0,3,19,15,7,90.0,24.1
0,3,19,15,12,123.5,157.9
0,3,19,15,13,44.2,42.0
0,3,19,15,14,58.9,151.9
0,3,19,15,15,45.5,62.3
0,3,19,15,34,53.9,313.1
0,3,19,34,0,374.8,1.6
0,3,19,34,7,299.4,2.3
0,3,19,34,12,344.4,70.0
0,3,19,34,13,314.8,53.2
0,3,19,34,14,177.2,95.0
0,3,19,34,15,293.4,88.2
0,3,19,34,34,177.2,268.5
0,4,20,0,0,12.8,12.9
0,4,20,0,7,10.9,1.3
0,4,20,0,12,24.6,70.6
0,4,20,0,13,24.8,52.7
0,4,20,0,14,2.5,131.8
0,4,20,0,15,43.7,114.1
0,4,20,0,34,0.9,270.1
0,4,20,7,0,0.4,10.9
0,4,20,7,7,0.3,2.0
0,4,20,7,12,14.7,69.3
0,4,20,7,13,13.8,50.7
0,4,20,7,14,0.2,137.5
0,4,20,7,15,14.7,74.6
0,4,20,7,34,2.2,477.5
0,4,20,12,0,49.9,24.1
0,4,20,12,7,75.9,16.3
0,4,20,12,12,88.3,117.0
0,4,20,12,13,121.1,109.0
0,4,20,12,14,51.3,159.0
0,4,20,12,15,109.8,159.9
0,4,20,12,34,53.5,440.3
0,4,20,13,0,61.2,34.2
0,4,20,13,7,56.3,18.4
0,4,20,13,12,94.3,140.9
0,4,20,13,13,88.9,96.2
0,4,20,13,14,44.6,153.3
0,4,20,13,15,90.0,134.3
0,4,20,13,34,45.6,434.6
0,4,20,14,0,159.5,2.2
0,4,20,14,7,140.0,1.4
0,4,20,14,12,142.6,90.8
0,4,20,14,13,156.4,64.2
0,4,20,14,14,59.4,90.9
0,4,20,14,15,139.0,79.4
0,4,20,14,34,141.7,551.4
0,4,20,15,0,79.7,37.7
0,4,20,15,7,46.4,14.9
0,4,20,15,12,120.6,144.0
0,4,20,15,13,85.8,82.8
0,4,20,15,14,56.8,145.9
0,4,20,15,15,136.8,175.6
0,4,20,15,34,58.4,384.9
0,4,20,34,0,390.2,1.4
0,4,20,34,7,222.6,2.5
0,4,20,34,12,308.6,69.3
0,4,20,34,13,299.4,57.6
0,4,20,34,14,174.7,91.9
0,4,20,34,15,299.7,82.5
0,4,20,34,34,160.7,242.7
0,5,21,0,0,12.5,13.4
0,5,21,0,7,10.5,1.4
0,5,21,0,12,25.8,71.1
0,5,21,0,13,26.2,53.9
0,5,21,0,14,0.8,120.1
0,5,21,0,15,26.1,72.4
0,5,21,0,34,1.6,417.8
0,5,21,7,0,2.4,25.6
0,5,21,7,7,26.1,20.5
0,5,21,7,12,12.6,78.7
0,5,21,7,13,19.5,83.3
0,5,21,7,14,5.5,193.6
0,5,21,7,15,30.4,95.2
0,5,21,7,34,0.1,454.8
0,5,21,12,0,79.1,32.5
0,5,21,12,7,66.7,2.0
0,5,21,12,12,100.3,119.6
0,5,21,12,13,95.3,83.9
0,5,21,12,14,53.0,124.3
0,5,21,12,15,133.5,164.0
0,5,21,12,34,50.4,441.7
0,5,21,13,0,56.9,37.9
0,5,21,13,7,32.2,11.2
0,5,21,13,12,34.3,56.9
0,5,21,13,13,35.3,43.0
0,5,21,13,14,35.6,152.2
0,5,21,13,15,35.2,61.2
0,5,21,13,34,36.8,424.7
0,5,21,14,0,108.6,1.1
0,5,21,14,7,150.4,12.5
0,5,21,14,12,150.2,104.5
0,5,21,14,13,122.4,60.0
0,5,21,14,14,124.6,200.2
0,5,21,14,15,109.8,80.6
0,5,21,14,34,61.6,267.8
0,5,21,15,0,49.9,28.8
0,5,21,15,7,82.5,23.9
0,5,21,15,12,113.5,138.6
0,5,21,15,13,100.4,107.3
0,5,21,15,14,56.5,158.2
0,5,21,15,15,99.9,131.3
0,5,21,15,34,70.1,468.0
0,5,21,34,0,343.7,1.9
0,5,21,34,7,281.7,1.2
0,5,21,34,12,292.1,95.0
0,5,21,34,13,322.5,49.9
0,5,21,34,14,169.6,89.5
0,5,21,34,15,313.4,75.8
0,5,21,34,34,172.9,263.1
0,6,22,0,0,12.6,12.8
0,6,22,0,7,10.2,1.4
0,6,22,0,12,25.5,79.1
0,6,22,0,13,24.3,48.5
0,6,22,0,14,1.9,192.3
0,6,22,0,15,21.1,74.6
0,6,22,0,34,0.7,221.0
0,6,22,7,0,0.4,11.0
0,6,22,7,7,0.2,2.0
0,6,22,7,12,14.0,74.4
0,6,22,7,13,14.0,48.0
0,6,22,7,14,0.9,205.1
0,6,22,7,15,13.5,61.0
0,6,22,7,34,0.2,228.4
0,6,22,12,0,56.5,24.8
0,6,22,12,7,50.5,4.2
0,6,22,12,12,106.4,127.2
0,6,22,12,13,97.8,84.3
0,6,22,12,14,66.5,172.5
0,6,22,12,15,121.0,144.2
0,6,22,12,34,50.4,384.3
0,6,22,13,0,41.1,22.7
0,6,22,13,7,63.1,21.9
0,6,22,13,12,97.4,148.5
0,6,22,13,13,33.3,41.3
0,6,22,13,14,36.2,154.8
0,6,22,13,15,87.9,129.0
