repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,20,0,0,17.6,18.7
0,0,20,0,7,16.3,2.3
0,0,20,0,12,30.4,79.6
0,0,20,0,13,32.4,57.0
0,0,20,0,14,1.8,172.9
0,0,20,0,15,56.3,107.1
0,0,20,0,34,2.8,392.9
0,0,20,7,0,12.0,42.3
0,0,20,7,7,10.3,12.8
0,0,20,7,12,27.8,134.4
0,0,20,7,13,10.7,46.7
0,0,20,7,14,1.6,214.4
0,0,20,7,15,19.0,108.6
0,0,20,7,34,11.7,637.3
0,0,20,12,0,91.6,50.7
0,0,20,12,7,87.9,21.1
0,0,20,12,12,122.5,159.9
0,0,20,12,13,129.8,114.8
0,0,20,12,14,56.8,187.2
0,0,20,12,15,114.8,140.1
0,0,20,12,34,57.1,512.2
0,0,20,13,0,46.9,32.0
0,0,20,13,7,42.6,17.9
0,0,20,13,12,106.4,172.0
0,0,20,13,13,97.7,114.2
0,0,20,13,14,43.0,192.6
0,0,20,13,15,39.9,69.1
0,0,20,13,34,39.6,485.2
0,0,20,14,0,202.0,2.2
0,0,20,14,7,151.4,1.7
0,0,20,14,12,163.3,99.2
0,0,20,14,13,147.5,63.6
0,0,20,14,14,67.4,112.1
0,0,20,14,15,173.0,101.9
0,0,20,14,34,65.0,272.9
0,0,20,15,0,58.3,32.2
0,0,20,15,7,94.1,23.1
0,0,20,15,12,91.6,131.8
0,0,20,15,13,59.0,53.6
0,0,20,15,14,63.6,176.0
0,0,20,15,15,120.7,137.7
0,0,20,15,34,64.7,523.0
0,0,20,34,0,422.9,2.6
0,0,20,34,7,330.0,1.4
0,0,20,34,12,385.1,114.1
0,0,20,34,13,402.8,67.6
0,0,20,34,14,185.0,101.3
0,0,20,34,15,367.1,88.4
0,0,20,34,34,225.0,343.2
0,1,21,0,0,17.4,17.8
0,1,21,0,7,15.5,2.4
0,1,21,0,12,33.1,89.1
0,1,21,0,13,32.2,49.6
0,1,21,0,14,1.4,197.3
0,1,21,0,15,39.4,93.4
0,1,21,0,34,2.0,410.8
0,1,21,7,0,14.9,42.9
0,1,21,7,7,26.0,19.7
0,1,21,7,12,17.2,91.8
0,1,21,7,13,17.8,80.5
0,1,21,7,14,0.3,170.5
0,1,21,7,15,29.7,127.0
0,1,21,7,34,3.0,381.4
0,1,21,12,0,72.6,38.0
0,1,21,12,7,94.5,25.7
0,1,21,12,12,123.1,161.2
0,1,21,12,13,123.1,104.4
0,1,21,12,14,60.8,156.2
0,1,21,12,15,133.1,167.4
0,1,21,12,34,65.0,515.8
0,1,21,13,0,70.9,56.6
0,1,21,13,7,69.4,22.9
0,1,21,13,12,58.3,104.0
0,1,21,13,13,97.1,119.1
0,1,21,13,14,41.1,188.5
0,1,21,13,15,102.8,173.2
0,1,21,13,34,54.0,553.8
0,1,21,14,0,187.2,1.2
0,1,21,14,7,123.5,3.5
0,1,21,14,12,147.0,101.0
0,1,21,14,13,167.0,55.9
0,1,21,14,14,145.6,234.7
0,1,21,14,15,164.7,108.8
0,1,21,14,34,69.2,292.7
0,1,21,15,0,60.2,32.7
0,1,21,15,7,54.1,17.3
0,1,21,15,12,125.8,169.0
0,1,21,15,13,128.1,114.2
0,1,21,15,14,63.0,205.3
0,1,21,15,15,126.4,149.7
0,1,21,15,34,59.1,524.0
0,1,21,34,0,450.6,2.3
0,1,21,34,7,255.0,3.0
0,1,21,34,12,383.2,103.0
0,1,21,34,13,379.9,64.5
0,1,21,34,14,230.6,124.8
0,1,21,34,15,375.5,96.9
0,1,21,34,34,212.8,322.3
0,2,22,0,0,18.2,18.8
0,2,22,0,7,15.6,2.4
0,2,22,0,12,31.2,86.4
0,2,22,0,13,31.2,57.4
0,2,22,0,14,2.7,243.6
0,2,22,0,15,46.3,121.0
0,2,22,0,34,11.0,563.2
0,2,22,7,0,11.5,31.1
0,2,22,7,7,27.3,22.1
0,2,22,7,12,32.4,148.3
0,2,22,7,13,29.7,84.2
0,2,22,7,14,0.7,213.3
0,2,22,7,15,33.2,123.3
0,2,22,7,34,0.2,495.8
0,2,22,12,0,58.3,28.0
0,2,22,12,7,54.2,12.6
0,2,22,12,12,130.3,160.1
0,2,22,12,13,84.5,83.8
0,2,22,12,14,62.5,186.8
0,2,22,12,15,139.7,178.0
0,2,22,12,34,60.2,531.3
0,2,22,13,0,68.0,50.3
0,2,22,13,7,65.3,19.0
0,2,22,13,12,71.1,138.5
0,2,22,13,13,106.6,125.3
0,2,22,13,14,70.5,229.8
0,2,22,13,15,102.5,162.1
0,2,22,13,34,48.7,474.7
0,2,22,14,0,211.9,3.0
0,2,22,14,7,166.7,2.0
0,2,22,14,12,159.2,81.0
0,2,22,14,13,150.3,56.1
0,2,22,14,14,63.0,99.7
0,2,22,14,15,150.9,85.4
0,2,22,14,34,146.3,617.4
0,2,22,15,0,57.5,39.9
0,2,22,15,7,91.3,20.6
0,2,22,15,12,95.4,127.6
0,2,22,15,13,51.3,49.1
