repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,32,0,0,19.1,21.5
0,0,32,0,7,18.8,4.2
0,0,32,0,12,20.7,74.1
0,0,32,0,13,20.0,75.4
0,0,32,0,14,1.0,161.4
0,0,32,0,15,33.0,70.7
0,0,32,0,34,0.6,249.6
0,0,32,7,0,1.6,17.6
0,0,32,7,7,8.5,7.8
0,0,32,7,12,2.4,73.7
0,0,32,7,13,10.7,79.4
0,0,32,7,14,2.1,155.4
0,0,32,7,15,22.3,86.7
0,0,32,7,34,1.1,301.8
0,0,32,12,0,83.7,33.6
0,0,32,12,7,78.7,17.2
0,0,32,12,12,120.6,111.6
0,0,32,12,13,123.1,120.8
0,0,32,12,14,64.5,211.1
0,0,32,12,15,121.3,111.9
0,0,32,12,34,57.4,422.0
0,0,32,13,0,87.1,34.4
0,0,32,13,7,85.4,20.5
0,0,32,13,12,127.5,121.5
0,0,32,13,13,125.5,121.6
0,0,32,13,14,59.3,214.7
0,0,32,13,15,134.8,103.5
0,0,32,13,34,62.2,430.7
0,0,32,14,0,138.7,1.5
0,0,32,14,7,148.1,1.6
0,0,32,14,12,195.5,56.6
0,0,32,14,13,189.3,62.8
0,0,32,14,14,120.4,110.0
0,0,32,14,15,209.3,56.5
0,0,32,14,34,122.7,290.5
0,0,32,15,0,91.5,33.4
0,0,32,15,7,90.1,20.5
0,0,32,15,12,121.5,102.0
0,0,32,15,13,121.6,108.5
0,0,32,15,14,56.8,209.0
0,0,32,15,15,82.8,83.8
0,0,32,15,34,61.0,444.3
0,0,32,34,0,330.8,1.1
0,0,32,34,7,341.0,1.0
0,0,32,34,12,490.3,60.7
0,0,32,34,13,454.3,60.5
0,0,32,34,14,288.8,103.3
0,0,32,34,15,439.4,63.8
0,0,32,34,34,254.6,277.5
0,1,33,0,0,24.5,23.6
0,1,33,0,7,22.2,1.1
0,1,33,0,12,33.7,87.2
0,1,33,0,13,34.4,82.1
0,1,33,0,14,1.5,162.1
0,1,33,0,15,31.8,83.3
0,1,33,0,34,1.0,206.6
0,1,33,7,0,4.5,24.1
0,1,33,7,7,4.6,1.0
0,1,33,7,12,19.1,81.4
0,1,33,7,13,16.5,76.6
0,1,33,7,14,1.0,91.5
0,1,33,7,15,15.9,75.8
0,1,33,7,34,1.0,233.2
0,1,33,12,0,75.8,17.3
0,1,33,12,7,82.9,16.3
0,1,33,12,12,91.0,85.0
0,1,33,12,13,88.5,77.4
0,1,33,12,14,54.8,198.6
0,1,33,12,15,85.0,81.4
0,1,33,12,34,58.5,464.1
0,1,33,13,0,83.1,33.7
0,1,33,13,7,77.8,13.2
0,1,33,13,12,89.9,76.9
0,1,33,13,13,111.1,104.7
0,1,33,13,14,59.4,131.1
0,1,33,13,15,89.2,76.8
0,1,33,13,34,57.4,384.0
0,1,33,14,0,167.5,1.1
0,1,33,14,7,173.5,4.1
0,1,33,14,12,175.0,61.3
0,1,33,14,13,198.9,53.9
0,1,33,14,14,126.9,97.0
0,1,33,14,15,196.7,55.0
0,1,33,14,34,119.1,292.4
0,1,33,15,0,98.2,32.7
0,1,33,15,7,83.9,20.0
0,1,33,15,12,109.4,100.3
0,1,33,15,13,112.6,104.8
0,1,33,15,14,58.3,190.1
0,1,33,15,15,87.4,74.0
0,1,33,15,34,53.5,259.3
0,1,33,34,0,368.2,1.1
0,1,33,34,7,311.4,1.0
0,1,33,34,12,298.9,54.1
0,1,33,34,13,466.3,56.0
0,1,33,34,14,282.0,96.5
0,1,33,34,15,407.7,55.1
0,1,33,34,34,314.5,285.0
0,2,34,0,0,24.0,26.0
0,2,34,0,7,18.7,2.2
0,2,34,0,12,32.7,96.5
0,2,34,0,13,35.1,92.0
0,2,34,0,14,1.0,171.2
0,2,34,0,15,32.0,84.2
0,2,34,0,34,1.0,302.6
0,2,34,7,0,1.1,15.6
0,2,34,7,7,5.5,3.9
0,2,34,7,12,21.9,86.1
0,2,34,7,13,20.9,85.8
0,2,34,7,14,1.1,97.4
0,2,34,7,15,17.2,83.5
0,2,34,7,34,0.4,329.7
0,2,34,12,0,73.4,17.8
0,2,34,12,7,87.5,18.5
0,2,34,12,12,85.3,82.2
0,2,34,12,13,81.3,78.6
0,2,34,12,14,52.1,99.7
0,2,34,12,15,81.6,77.3
0,2,34,12,34,55.7,317.2
0,2,34,13,0,83.5,17.1
0,2,34,13,7,75.9,1.1
0,2,34,13,12,80.9,76.6
0,2,34,13,13,86.0,87.6
0,2,34,13,14,53.4,106.3
0,2,34,13,15,116.3,121.5
0,2,34,13,34,54.9,271.0
0,2,34,14,0,114.4,1.1
0,2,34,14,7,137.4,1.0
0,2,34,14,12,172.7,60.4
0,2,34,14,13,187.9,60.8
0,2,34,14,14,103.8,98.1
0,2,34,14,15,206.6,67.4
0,2,34,14,34,127.1,316.4
0,2,34,15,0,92.2,28.7
0,2,34,15,7,70.4,1.2
0,2,34,15,12,87.8,76.8
0,2,34,15,13,103.2,104.4
0,2,34,15,14,56.6,138.2
0,2,34,15,15,84.1,85.4
0,2,34,15,34,54.7,308.7
0,2,34,34,0,325.1,1.1
0,2,34,34,7,339.0,1.0
0,2,34,34,12,374.0,60.4
0,2,34,34,13,405.3,65.3
0,2,34,34,14,220.0,93.7
0,2,34,34,15,433.0,61.3
0,2,34,34,34,240.3,290.0
0,3,35,0,0,18.4,19.1
0,3,35,0,7,22.5,3.1
0,3,35,0,12,32.8,94.2
0,3,35,0,13,31.5,84.5
0,3,35,0,14,1.0,109.5
0,3,35,0,15,19.1,74.7
0,3,35,0,34,1.0,223.8
0,3,35,7,0,1.8,18.3
0,3,35,7,7,4.8,1.0
0,3,35,7,12,18.8,76.4
0,3,35,7,13,18.3,75.6
0,3,35,7,14,1.0,94.3
0,3,35,7,15,18.3,76.0
0,3,35,7,34,1.1,242.8
0,3,35,12,0,75.7,33.5
0,3,35,12,7,68.6,15.0
0,3,35,12,12,84.4,71.7
0,3,35,12,13,86.3,88.8
0,3,35,12,14,54.0,196.4
0,3,35,12,15,75.3,66.2
0,3,35,12,34,55.6,466.4
0,3,35,13,0,70.5,24.8
0,3,35,13,7,85.2,12.8
0,3,35,13,12,94.1,99.6
0,3,35,13,13,120.1,118.1
0,3,35,13,14,46.7,146.5
0,3,35,13,15,83.0,71.6
0,3,35,13,34,48.8,270.7
0,3,35,14,0,179.4,1.2
0,3,35,14,7,155.0,1.0
0,3,35,14,12,201.1,53.9
0,3,35,14,13,135.5,55.5
0,3,35,14,14,122.4,92.6
0,3,35,14,15,211.4,57.9
0,3,35,14,34,114.9,268.2
0,3,35,15,0,74.0,21.2
0,3,35,15,7,80.6,11.2
0,3,35,15,12,112.7,106.0
0,3,35,15,13,89.3,72.4
0,3,35,15,14,54.4,203.2
0,3,35,15,15,86.1,80.0
0,3,35,15,34,55.3,426.0
0,3,35,34,0,350.2,1.1
0,3,35,34,7,324.9,1.0
0,3,35,34,12,465.2,58.1
0,3,35,34,13,471.5,59.4
0,3,35,34,14,283.8,100.0
0,3,35,34,15,271.0,61.6
0,3,35,34,34,278.2,284.6
0,4,36,0,0,19.0,18.0
0,4,36,0,7,22.7,1.9
0,4,36,0,12,32.2,90.2
0,4,36,0,13,30.4,99.0
0,4,36,0,14,1.0,116.8
0,4,36,0,15,30.3,85.9
0,4,36,0,34,1.0,226.5
0,4,36,7,0,1.0,15.4
0,4,36,7,7,9.7,8.9
0,4,36,7,12,16.3,65.5
0,4,36,7,13,16.2,73.5
0,4,36,7,14,0.4,91.6
0,4,36,7,15,15.7,72.7
0,4,36,7,34,1.0,298.2
0,4,36,12,0,85.9,19.6
0,4,36,12,7,75.7,1.1
0,4,36,12,12,95.6,81.3
0,4,36,12,13,98.0,115.4
0,4,36,12,14,67.8,173.6
0,4,36,12,15,90.3,79.1
0,4,36,12,34,51.0,280.5
0,4,36,13,0,79.0,16.5
0,4,36,13,7,79.6,1.1
0,4,36,13,12,98.0,121.4
0,4,36,13,13,87.7,68.9
0,4,36,13,14,61.2,193.8
0,4,36,13,15,132.9,129.7
0,4,36,13,34,47.3,329.5
0,4,36,14,0,163.3,2.2
0,4,36,14,7,148.9,1.0
0,4,36,14,12,173.2,58.3
0,4,36,14,13,199.0,56.5
0,4,36,14,14,126.2,108.8
0,4,36,14,15,204.8,57.7
0,4,36,14,34,128.7,297.5
0,4,36,15,0,66.1,20.3
0,4,36,15,7,75.6,2.2
0,4,36,15,12,105.5,95.2
0,4,36,15,13,84.8,71.9
0,4,36,15,14,60.3,101.2
0,4,36,15,15,119.0,114.8
0,4,36,15,34,57.8,294.2
0,4,36,34,0,339.7,1.1
0,4,36,34,7,339.8,1.0
0,4,36,34,12,452.7,57.9
0,4,36,34,13,460.3,56.1
0,4,36,34,14,259.0,93.8
0,4,36,34,15,469.4,60.0
0,4,36,34,34,282.0,287.9
0,5,37,0,0,19.3,18.5
0,5,37,0,7,21.2,1.1
0,5,37,0,12,21.0,73.5
0,5,37,0,13,20.5,73.5
0,5,37,0,14,1.0,160.5
0,5,37,0,15,19.9,74.6
0,5,37,0,34,1.0,204.9
0,5,37,7,0,1.0,15.0
0,5,37,7,7,4.6,1.0
0,5,37,7,12,17.1,77.6
0,5,37,7,13,22.3,88.0
0,5,37,7,14,1.1,87.7
0,5,37,7,15,6.5,69.7
0,5,37,7,34,1.0,243.4
0,5,37,12,0,74.2,21.5
0,5,37,12,7,85.9,16.7
0,5,37,12,12,90.2,97.1
0,5,37,12,13,94.8,97.2
0,5,37,12,14,43.2,65.2
0,5,37,12,15,84.2,69.8
0,5,37,12,34,53.7,439.9
0,5,37,13,0,93.2,34.9
0,5,37,13,7,76.0,16.8
0,5,37,13,12,97.3,83.3
0,5,37,13,13,78.0,68.4
0,5,37,13,14,51.5,98.2
0,5,37,13,15,93.1,82.9
0,5,37,13,34,50.6,259.2
0,5,37,14,0,143.0,1.1
0,5,37,14,7,156.4,1.0
0,5,37,14,12,198.2,53.8
0,5,37,14,13,220.6,57.9
0,5,37,14,14,125.9,96.1
0,5,37,14,15,137.7,55.6
0,5,37,14,34,113.9,288.0
0,5,37,15,0,75.7,17.2
0,5,37,15,7,69.6,2.8
0,5,37,15,12,98.1,95.5
0,5,37,15,13,88.7,71.8
0,5,37,15,14,55.9,117.0
0,5,37,15,15,77.8,73.4
0,5,37,15,34,55.4,462.6
0,5,37,34,0,315.1,1.1
0,5,37,34,7,310.6,1.0
0,5,37,34,12,389.6,80.9
0,5,37,34,13,417.2,61.6
0,5,37,34,14,236.9,96.8
0,5,37,34,15,434.6,61.5
0,5,37,34,34,255.3,280.4
0,6,38,0,0,18.5,18.7
0,6,38,0,7,23.6,4.4
0,6,38,0,12,31.8,85.4
0,6,38,0,13,30.8,79.6
0,6,38,0,14,1.0,124.6
0,6,38,0,15,30.6,86.2
0,6,38,0,34,1.0,241.3
0,6,38,7,0,1.1,15.4
0,6,38,7,7,5.0,1.0
0,6,38,7,12,16.5,74.2
0,6,38,7,13,21.2,85.2
0,6,38,7,14,1.0,91.9
0,6,38,7,15,20.8,86.7
0,6,38,7,34,1.0,239.3
0,6,38,12,0,77.5,17.0
0,6,38,12,7,70.1,1.1
0,6,38,12,12,120.7,120.8
0,6,38,12,13,96.9,93.1
0,6,38,12,14,59.1,99.1
0,6,38,12,15,89.6,71.5
0,6,38,12,34,62.5,445.9
0,6,38,13,0,79.8,24.7
0,6,38,13,7,71.2,1.1
0,6,38,13,12,138.9,127.9
0,6,38,13,13,112.2,102.7
0,6,38,13,14,58.7,165.1
0,6,38,13,15,125.9,118.6
0,6,38,13,34,55.5,456.1
0,6,38,14,0,158.2,1.1
0,6,38,14,7,111.8,1.2
0,6,38,14,12,206.1,59.3
0,6,38,14,13,212.3,55.6
0,6,38,14,14,125.9,65.1
0,6,38,14,15,208.8,60.0
0,6,38,14,34,114.0,291.5
0,6,38,15,0,84.9,33.7
0,6,38,15,7,83.7,18.7
0,6,38,15,12,114.3,106.0
0,6,38,15,13,101.6,64.9
0,6,38,15,14,52.8,107.0
0,6,38,15,15,83.2,78.0
0,6,38,15,34,53.5,235.7
0,6,38,34,0,304.1,1.1
0,6,38,34,7,344.0,1.3
0,6,38,34,12,480.2,59.6
0,6,38,34,13,502.1,61.2
0,6,38,34,14,251.9,98.9
0,6,38,34,15,443.9,62.0
0,6,38,34,34,236.2,274.7
0,7,39,0,0,24.0,24.7
0,7,39,0,7,22.8,4.0
0,7,39,0,12,31.9,82.3
0,7,39,0,13,31.9,92.4
0,7,39,0,14,1.1,110.8
0,7,39,0,15,31.4,99.2
0,7,39,0,34,1.0,305.9
0,7,39,7,0,5.3,23.8
0,7,39,7,7,5.0,1.0
0,7,39,7,12,18.3,74.6
0,7,39,7,13,18.7,92.7
0,7,39,7,14,1.0,98.1
0,7,39,7,15,16.6,77.8
0,7,39,7,34,1.1,247.2
0,7,39,12,0,75.3,17.5
0,7,39,12,7,68.1,1.1
0,7,39,12,12,115.6,109.9
0,7,39,12,13,113.2,113.8
0,7,39,12,14,58.3,95.3
0,7,39,12,15,89.5,79.2
0,7,39,12,34,58.7,281.1
0,7,39,13,0,79.7,16.8
0,7,39,13,7,89.6,17.8
0,7,39,13,12,77.3,69.3
0,7,39,13,13,77.9,71.8
0,7,39,13,14,57.7,99.7
0,7,39,13,15,108.8,110.1
0,7,39,13,34,52.2,270.0
0,7,39,14,0,154.9,1.1
0,7,39,14,7,163.4,1.0
0,7,39,14,12,196.6,59.9
0,7,39,14,13,181.4,59.9
0,7,39,14,14,105.5,90.8
0,7,39,14,15,199.6,63.8
0,7,39,14,34,99.2,248.6
0,7,39,15,0,76.6,19.0
0,7,39,15,7,68.6,1.1
0,7,39,15,12,102.5,104.2
0,7,39,15,13,94.9,88.5
0,7,39,15,14,61.2,200.4
0,7,39,15,15,84.7,81.9
0,7,39,15,34,54.7,270.0
0,7,39,34,0,341.3,2.2
0,7,39,34,7,293.0,1.9
0,7,39,34,12,431.6,67.1
0,7,39,34,13,435.1,63.4
0,7,39,34,14,246.6,107.0
0,7,39,34,15,380.2,64.1
0,7,39,34,34,305.4,296.6
0,8,40,0,0,23.6,24.3
0,8,40,0,7,21.6,2.0
0,8,40,0,12,30.2,81.6
0,8,40,0,13,31.4,92.8
0,8,40,0,14,1.0,153.7
0,8,40,0,15,30.9,94.1
0,8,40,0,34,1.4,255.2
0,8,40,7,0,4.1,22.7
0,8,40,7,7,6.9,4.5
0,8,40,7,12,17.5,79.6
0,8,40,7,13,17.2,75.1
0,8,40,7,14,1.0,138.5
0,8,40,7,15,16.6,76.0
0,8,40,7,34,1.0,265.4
0,8,40,12,0,80.2,19.6
0,8,40,12,7,66.4,1.1
0,8,40,12,12,120.3,121.5
0,8,40,12,13,89.4,75.2
0,8,40,12,14,55.2,197.2
0,8,40,12,15,128.3,117.3
0,8,40,12,34,59.5,460.6
0,8,40,13,0,79.0,17.7
0,8,40,13,7,68.6,1.1
