repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,4,0,0,4.9,8.0
0,0,4,0,7,20.3,20.5
0,0,4,0,13,19.6,113.0
0,0,4,0,14,9.3,125.6
0,0,4,0,15,19.6,95.1
0,0,4,0,34,16.0,105.7
0,0,4,7,0,15.0,23.4
0,0,4,7,7,14.8,20.6
0,0,4,7,13,0.4,101.0
0,0,4,7,14,0.3,128.6
0,0,4,7,15,14.9,121.4
0,0,4,7,34,2.1,96.7
0,0,4,13,0,97.0,8.2
0,0,4,13,7,98.5,5.4
0,0,4,13,13,86.7,103.7
0,0,4,13,14,94.9,151.1
0,0,4,13,15,88.4,109.6
0,0,4,13,34,79.1,198.7
0,0,4,14,0,118.2,20.1
0,0,4,14,7,138.9,20.0
0,0,4,14,13,90.9,101.5
0,0,4,14,14,90.0,100.8
0,0,4,14,15,76.2,88.8
0,0,4,14,34,68.5,175.5
0,0,4,15,0,113.0,23.1
0,0,4,15,7,103.5,20.3
0,0,4,15,13,76.3,88.3
0,0,4,15,14,105.3,154.6
0,0,4,15,15,89.8,102.1
0,0,4,15,34,95.7,195.3
0,0,4,34,0,94.2,5.7
0,0,4,34,7,105.7,20.3
0,0,4,34,13,172.5,102.5
0,0,4,34,14,137.2,96.8
0,0,4,34,15,159.0,99.6
0,0,4,34,34,138.1,186.2
0,1,5,0,0,19.4,8.2
0,1,5,0,7,5.5,20.1
0,1,5,0,13,19.6,107.7
0,1,5,0,14,16.0,138.5
0,1,5,0,15,19.7,123.0
0,1,5,0,34,15.9,108.9
0,1,5,7,0,0.4,8.5
0,1,5,7,7,14.8,20.6
0,1,5,7,13,0.4,102.4
0,1,5,7,14,13.6,140.5
0,1,5,7,15,0.4,113.8
0,1,5,7,34,14.5,108.9
0,1,5,13,0,108.1,8.2
0,1,5,13,7,98.9,5.7
0,1,5,13,13,88.9,109.3
0,1,5,13,14,81.3,148.7
0,1,5,13,15,95.2,117.1
0,1,5,13,34,92.4,206.0
0,1,5,14,0,113.1,5.8
0,1,5,14,7,146.9,20.2
0,1,5,14,13,86.9,96.7
0,1,5,14,14,70.0,109.9
0,1,5,14,15,90.2,110.2
0,1,5,14,34,85.2,186.4
0,1,5,15,0,112.4,8.1
0,1,5,15,7,121.4,20.2
0,1,5,15,13,88.9,105.5
0,1,5,15,14,98.4,146.2
0,1,5,15,15,88.9,108.0
0,1,5,15,34,110.3,195.9
0,1,5,34,0,117.1,20.3
0,1,5,34,7,106.7,20.4
0,1,5,34,13,172.9,86.6
0,1,5,34,14,137.5,96.4
0,1,5,34,15,154.4,89.9
0,1,5,34,34,151.8,172.4
0,2,6,0,0,19.7,22.8
0,2,6,0,7,5.3,5.7
0,2,6,0,13,5.0,95.4
0,2,6,0,14,16.0,137.4
0,2,6,0,15,4.7,78.7
0,2,6,0,34,16.1,105.6
0,2,6,7,0,14.9,23.5
0,2,6,7,7,0.3,5.9
0,2,6,7,13,15.1,101.4
0,2,6,7,14,0.3,130.3
0,2,6,7,15,0.4,103.2
0,2,6,7,34,14.5,110.7
0,2,6,13,0,93.6,23.1
0,2,6,13,7,99.1,5.4
