repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,32,0,0,20.1,21.1
0,0,32,0,7,24.0,4.2
0,0,32,0,13,32.0,92.4
0,0,32,0,14,1.0,168.4
0,0,32,0,15,32.9,92.3
0,0,32,0,34,1.0,298.9
0,0,32,7,0,5.6,24.6
0,0,32,7,7,9.8,8.4
0,0,32,7,13,21.1,87.1
0,0,32,7,14,1.0,145.3
0,0,32,7,15,20.2,83.5
0,0,32,7,34,1.9,295.3
0,0,32,13,0,89.6,33.6
0,0,32,13,7,95.5,21.0
0,0,32,13,13,110.1,103.4
0,0,32,13,14,55.2,207.8
0,0,32,13,15,116.5,113.0
0,0,32,13,34,60.4,386.7
0,0,32,14,0,159.1,3.2
0,0,32,14,7,137.2,1.7
0,0,32,14,13,183.6,59.4
0,0,32,14,14,95.8,105.0
0,0,32,14,15,209.5,64.6
0,0,32,14,34,97.9,276.6
0,0,32,15,0,74.5,17.7
0,0,32,15,7,80.8,18.6
0,0,32,15,13,109.7,109.9
0,0,32,15,14,63.1,208.8
0,0,32,15,15,117.8,113.9
0,0,32,15,34,58.7,473.7
0,0,32,34,0,282.4,1.1
0,0,32,34,7,334.5,2.4
0,0,32,34,13,335.1,80.7
0,0,32,34,14,286.1,99.5
0,0,32,34,15,440.5,67.0
0,0,32,34,34,286.3,265.7
0,1,33,0,0,26.7,30.0
0,1,33,0,7,22.1,1.1
0,1,33,0,13,32.7,84.0
0,1,33,0,14,1.5,122.9
0,1,33,0,15,33.6,92.8
0,1,33,0,34,1.5,217.7
0,1,33,7,0,1.6,15.4
0,1,33,7,7,5.0,1.0
0,1,33,7,13,17.9,71.4
0,1,33,7,14,1.9,90.0
0,1,33,7,15,18.0,72.6
0,1,33,7,34,2.4,313.3
0,1,33,13,0,81.5,24.5
0,1,33,13,7,90.0,7.6
0,1,33,13,13,104.4,98.1
0,1,33,13,14,67.4,163.1
0,1,33,13,15,121.5,125.3
0,1,33,13,34,59.9,271.6
0,1,33,14,0,169.5,1.1
0,1,33,14,7,152.3,1.0
0,1,33,14,13,227.5,55.4
0,1,33,14,14,112.7,96.9
0,1,33,14,15,209.4,55.5
0,1,33,14,34,115.8,268.1
0,1,33,15,0,84.6,35.4
0,1,33,15,7,76.9,4.3
0,1,33,15,13,81.4,70.7
0,1,33,15,14,56.6,196.7
0,1,33,15,15,113.1,103.1
0,1,33,15,34,56.9,383.0
0,1,33,34,0,335.2,1.1
0,1,33,34,7,337.3,1.0
0,1,33,34,13,427.8,59.3
0,1,33,34,14,232.9,104.7
0,1,33,34,15,302.8,51.2
0,1,33,34,34,292.7,269.9
0,2,34,0,0,23.3,24.5
0,2,34,0,7,21.2,1.3
0,2,34,0,13,32.0,95.8
0,2,34,0,14,1.6,176.0
0,2,34,0,15,31.9,86.7
0,2,34,0,34,1.0,374.2
0,2,34,7,0,1.1,15.5
0,2,34,7,7,11.3,10.7
0,2,34,7,13,20.1,82.3
0,2,34,7,14,1.1,138.8
0,2,34,7,15,17.7,85.2
0,2,34,7,34,1.1,238.3
0,2,34,13,0,86.6,34.1
0,2,34,13,7,75.8,18.7
0,2,34,13,13,91.4,96.4
0,2,34,13,14,62.5,181.7
0,2,34,13,15,87.9,81.6
0,2,34,13,34,52.9,428.2
0,2,34,14,0,175.4,1.2
0,2,34,14,7,140.8,1.0
0,2,34,14,13,195.8,58.7
0,2,34,14,14,122.8,90.2
0,2,34,14,15,178.1,60.5
0,2,34,14,34,109.6,281.7
0,2,34,15,0,87.8,29.7
0,2,34,15,7,74.5,3.8
0,2,34,15,13,86.8,72.4
0,2,34,15,14,43.7,131.1
0,2,34,15,15,98.8,98.5
0,2,34,15,34,61.3,354.9
0,2,34,34,0,270.1,1.3
0,2,34,34,7,352.4,1.0
0,2,34,34,13,349.8,62.7
0,2,34,34,14,272.1,104.8
0,2,34,34,15,453.4,49.9
0,2,34,34,34,279.5,299.3
0,3,35,0,0,19.7,18.2
0,3,35,0,7,17.8,2.2
0,3,35,0,13,20.9,73.9
0,3,35,0,14,1.0,105.6
0,3,35,0,15,31.9,83.6
0,3,35,0,34,1.0,248.9
0,3,35,7,0,4.7,24.0
0,3,35,7,7,4.7,2.6
0,3,35,7,13,7.4,67.2
0,3,35,7,14,1.0,87.4
0,3,35,7,15,18.9,83.9
0,3,35,7,34,1.4,259.2
0,3,35,13,0,88.7,33.1
0,3,35,13,7,77.9,7.4
0,3,35,13,13,78.1,64.8
0,3,35,13,14,54.5,102.0
0,3,35,13,15,90.6,77.5
0,3,35,13,34,59.4,417.0
0,3,35,14,0,160.4,1.6
0,3,35,14,7,150.7,2.4
0,3,35,14,13,212.3,54.5
0,3,35,14,14,112.0,94.2
0,3,35,14,15,138.6,58.0
0,3,35,14,34,120.9,282.4
0,3,35,15,0,91.4,34.7
0,3,35,15,7,77.6,7.5
0,3,35,15,13,87.5,76.5
0,3,35,15,14,60.6,124.2
0,3,35,15,15,83.6,71.9
0,3,35,15,34,61.5,363.4
0,3,35,34,0,303.8,1.1
0,3,35,34,7,337.3,1.0
0,3,35,34,13,390.2,61.2
0,3,35,34,14,235.6,97.3
0,3,35,34,15,267.3,57.9
0,3,35,34,34,241.3,287.3
0,4,36,0,0,22.2,22.0
0,4,36,0,7,21.5,1.0
0,4,36,0,13,30.1,83.5
0,4,36,0,14,1.5,113.7
0,4,36,0,15,32.8,87.3
0,4,36,0,34,1.0,232.6
0,4,36,7,0,1.1,14.9
0,4,36,7,7,5.0,3.7
0,4,36,7,13,3.6,45.8
0,4,36,7,14,1.9,150.2
0,4,36,7,15,19.4,82.5
0,4,36,7,34,1.1,231.5
0,4,36,13,0,74.6,21.7
0,4,36,13,7,84.9,19.7
0,4,36,13,13,127.9,128.0
0,4,36,13,14,59.9,188.3
0,4,36,13,15,122.8,118.5
0,4,36,13,34,55.8,388.6
0,4,36,14,0,142.7,1.2
0,4,36,14,7,109.0,1.4
0,4,36,14,13,191.9,60.1
0,4,36,14,14,114.4,95.3
0,4,36,14,15,211.4,63.0
0,4,36,14,34,107.8,306.5
0,4,36,15,0,75.9,18.2
0,4,36,15,7,75.4,12.2
0,4,36,15,13,121.5,115.7
0,4,36,15,14,59.3,191.0
0,4,36,15,15,105.5,110.9
0,4,36,15,34,49.6,435.5
0,4,36,34,0,317.6,1.1
0,4,36,34,7,330.2,1.0
0,4,36,34,13,472.2,60.3
0,4,36,34,14,273.8,100.5
0,4,36,34,15,452.7,57.5
0,4,36,34,34,299.4,315.0
0,5,37,0,0,21.2,21.0
0,5,37,0,7,18.5,1.1
0,5,37,0,13,20.3,90.8
0,5,37,0,14,1.0,153.5
0,5,37,0,15,20.3,82.6
0,5,37,0,34,1.0,246.9
0,5,37,7,0,1.2,16.9
0,5,37,7,7,7.2,8.7
0,5,37,7,13,9.3,78.1
0,5,37,7,14,1.0,93.3
0,5,37,7,15,9.4,79.3
0,5,37,7,34,1.4,312.8
0,5,37,13,0,72.3,30.9
0,5,37,13,7,80.0,15.4
0,5,37,13,13,85.0,90.2
0,5,37,13,14,55.6,204.6
0,5,37,13,15,80.3,77.8
0,5,37,13,34,56.7,235.9
0,5,37,14,0,158.1,2.3
0,5,37,14,7,143.0,2.6
