repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,6,0,0,9.5,14.6
0,0,6,0,7,4.0,4.2
0,0,6,0,12,3.7,8.1
0,0,6,0,13,14.7,6.0
0,0,6,0,14,2.9,16.9
0,0,6,0,15,51.3,7.0
0,0,6,0,34,2.9,36.5
0,0,6,7,0,7.1,10.3
0,0,6,7,7,4.4,4.0
0,0,6,7,12,4.9,6.3
0,0,6,7,13,4.0,6.6
0,0,6,7,14,4.0,31.5
0,0,6,7,15,13.9,6.5
0,0,6,7,34,6.4,32.4
0,0,6,12,0,7.2,6.6
0,0,6,12,7,17.4,9.0
0,0,6,12,12,3.5,2.5
0,0,6,12,13,4.2,5.9
0,0,6,12,14,7.6,26.7
0,0,6,12,15,13.9,12.1
0,0,6,12,34,4.6,67.1
0,0,6,13,0,23.8,27.2
0,0,6,13,7,4.5,6.6
0,0,6,13,12,9.8,10.5
0,0,6,13,13,11.9,14.1
0,0,6,13,14,5.8,22.9
0,0,6,13,15,13.8,13.7
0,0,6,13,34,6.3,176.1
0,0,6,14,0,29.1,2.7
0,0,6,14,7,29.3,4.9
0,0,6,14,12,25.8,8.2
0,0,6,14,13,22.2,4.4
0,0,6,14,14,9.8,30.6
0,0,6,14,15,22.6,5.3
0,0,6,14,34,15.2,200.0
0,0,6,15,0,14.6,27.2
0,0,6,15,7,12.0,7.4
0,0,6,15,12,3.6,3.5
0,0,6,15,13,4.6,4.6
0,0,6,15,14,5.7,18.9
0,0,6,15,15,3.4,3.2
0,0,6,15,34,4.3,58.5
0,0,6,34,0,31.3,2.8
0,0,6,34,7,31.1,3.6
0,0,6,34,12,76.4,4.6
0,0,6,34,13,78.7,6.7
0,0,6,34,14,65.9,5.5
0,0,6,34,15,75.9,4.2
0,0,6,34,34,105.8,119.3
0,1,7,0,0,5.6,3.3
0,1,7,0,7,72.6,8.0
0,1,7,0,12,26.5,18.8
0,1,7,0,13,19.2,13.1
0,1,7,0,14,3.0,18.8
0,1,7,0,15,34.9,21.4
0,1,7,0,34,4.1,57.2
0,1,7,7,0,2.4,3.4
0,1,7,7,7,3.1,3.0
0,1,7,7,12,31.9,19.7
0,1,7,7,13,6.6,29.0
0,1,7,7,14,3.1,15.5
0,1,7,7,15,3.8,4.1
0,1,7,7,34,8.0,36.1
0,1,7,12,0,7.9,5.3
0,1,7,12,7,16.4,10.5
0,1,7,12,12,12.8,10.8
0,1,7,12,13,15.8,12.1
0,1,7,12,14,3.7,22.5
0,1,7,12,15,6.1,10.9
0,1,7,12,34,4.4,151.8
0,1,7,13,0,22.8,15.5
0,1,7,13,7,24.0,10.7
0,1,7,13,12,18.7,14.2
0,1,7,13,13,18.8,15.8
0,1,7,13,14,6.3,23.4
0,1,7,13,15,9.7,6.9
0,1,7,13,34,5.6,212.5
0,1,7,14,0,21.4,4.8
0,1,7,14,7,17.3,3.0
0,1,7,14,12,20.0,6.0
0,1,7,14,13,27.2,8.2
0,1,7,14,14,3.6,4.5
0,1,7,14,15,28.3,5.0
0,1,7,14,34,3.7,92.7
0,1,7,15,0,15.3,25.0
0,1,7,15,7,22.5,6.5
0,1,7,15,12,6.0,5.2
