repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,6,0,0,3.0,2.8
0,0,6,0,7,42.5,7.5
0,0,6,0,12,49.3,14.2
0,0,6,0,13,8.1,4.4
0,0,6,0,14,3.0,7.1
0,0,6,0,15,46.9,16.2
0,0,6,0,34,4.0,56.0
0,0,6,7,0,11.3,17.9
0,0,6,7,7,4.4,4.1
0,0,6,7,12,2.9,4.7
0,0,6,7,13,5.9,10.8
0,0,6,7,14,4.5,14.6
0,0,6,7,15,3.6,5.6
0,0,6,7,34,4.3,40.8
0,0,6,12,0,10.6,11.0
0,0,6,12,7,18.0,13.3
0,0,6,12,12,4.1,3.1
0,0,6,12,13,13.4,7.7
0,0,6,12,14,4.7,18.7
0,0,6,12,15,10.0,9.2
0,0,6,12,34,4.9,50.0
0,0,6,13,0,13.7,19.6
0,0,6,13,7,6.6,4.5
0,0,6,13,12,9.4,7.7
0,0,6,13,13,9.7,5.4
0,0,6,13,14,3.7,25.9
0,0,6,13,15,10.7,7.8
0,0,6,13,34,6.6,151.1
0,0,6,14,0,31.0,3.6
0,0,6,14,7,32.3,3.9
0,0,6,14,12,26.3,3.5
0,0,6,14,13,27.1,8.4
0,0,6,14,14,3.4,4.2
0,0,6,14,15,12.5,3.3
0,0,6,14,34,5.2,61.7
0,0,6,15,0,13.9,19.2
0,0,6,15,7,12.6,7.7
0,0,6,15,12,10.1,9.2
0,0,6,15,13,5.5,5.6
0,0,6,15,14,2.7,27.9
0,0,6,15,15,8.4,7.9
0,0,6,15,34,4.4,81.4
0,0,6,34,0,28.4,4.1
0,0,6,34,7,49.8,3.9
0,0,6,34,12,206.8,6.0
0,0,6,34,13,72.1,7.3
0,0,6,34,14,50.8,4.1
0,0,6,34,15,190.0,6.1
0,0,6,34,34,131.9,225.0
0,1,7,0,0,56.0,19.5
0,1,7,0,7,74.9,15.5
0,1,7,0,12,36.1,12.9
0,1,7,0,13,52.8,9.8
0,1,7,0,14,3.7,28.4
0,1,7,0,15,61.8,15.0
0,1,7,0,34,4.0,64.7
0,1,7,7,0,6.1,20.7
0,1,7,7,7,4.6,8.7
0,1,7,7,12,13.1,9.2
0,1,7,7,13,3.2,4.2
0,1,7,7,14,6.5,30.0
0,1,7,7,15,3.1,4.3
0,1,7,7,34,3.9,60.3
0,1,7,12,0,7.2,27.5
0,1,7,12,7,4.0,7.1
0,1,7,12,12,5.4,4.8
0,1,7,12,13,11.2,7.0
0,1,7,12,14,5.7,24.6
0,1,7,12,15,14.1,8.9
0,1,7,12,34,5.3,182.0
0,1,7,13,0,8.0,24.4
0,1,7,13,7,4.4,3.2
0,1,7,13,12,6.3,5.7
0,1,7,13,13,3.1,3.2
0,1,7,13,14,4.5,30.2
0,1,7,13,15,5.0,6.5
0,1,7,13,34,4.7,199.8
0,1,7,14,0,27.1,2.9
0,1,7,14,7,28.1,4.0
0,1,7,14,12,24.3,4.2
0,1,7,14,13,24.5,3.5
0,1,7,14,14,5.5,3.4
0,1,7,14,15,28.8,6.3
0,1,7,14,34,4.6,216.5
0,1,7,15,0,11.2,20.2
0,1,7,15,7,8.4,13.4
0,1,7,15,12,6.6,10.6
0,1,7,15,13,10.0,16.0
0,1,7,15,14,6.9,19.8
0,1,7,15,15,11.8,10.5
0,1,7,15,34,8.0,207.8
0,1,7,34,0,24.3,5.3
0,1,7,34,7,42.3,4.1
0,1,7,34,12,93.6,5.1
0,1,7,34,13,72.7,7.5
0,1,7,34,14,42.2,3.4
0,1,7,34,15,141.5,4.2
0,1,7,34,34,60.3,213.4
0,2,8,0,0,59.5,17.5
0,2,8,0,7,2.8,2.8
0,2,8,0,12,50.5,15.7
0,2,8,0,13,52.3,19.4
0,2,8,0,14,2.9,24.4
0,2,8,0,15,10.9,8.5
0,2,8,0,34,3.4,34.6
0,2,8,7,0,3.2,3.1
0,2,8,7,7,3.8,5.8
0,2,8,7,12,8.2,18.6
0,2,8,7,13,4.1,6.6
0,2,8,7,14,4.9,24.4
0,2,8,7,15,8.0,11.1
0,2,8,7,34,4.0,65.2
0,2,8,12,0,9.2,10.2
0,2,8,12,7,6.2,4.2
0,2,8,12,12,4.7,3.3
0,2,8,12,13,3.9,2.7
0,2,8,12,14,3.7,10.8
0,2,8,12,15,7.9,6.4
0,2,8,12,34,10.8,72.7
0,2,8,13,0,9.4,8.6
0,2,8,13,7,16.4,10.4
0,2,8,13,12,5.5,5.2
0,2,8,13,13,3.8,3.6
0,2,8,13,14,4.9,13.3
0,2,8,13,15,7.2,5.6
0,2,8,13,34,4.2,64.6
0,2,8,14,0,22.3,2.9
0,2,8,14,7,30.8,2.9
0,2,8,14,12,20.3,7.5
0,2,8,14,13,28.3,3.6
0,2,8,14,14,5.0,4.1
0,2,8,14,15,11.7,3.6
0,2,8,14,34,3.9,64.0
0,2,8,15,0,8.5,11.3
0,2,8,15,7,4.1,4.2
0,2,8,15,12,8.1,16.5
0,2,8,15,13,16.2,13.2
0,2,8,15,14,3.0,17.8
0,2,8,15,15,4.9,4.1
0,2,8,15,34,4.0,85.8
0,2,8,34,0,18.1,4.0
0,2,8,34,7,31.5,3.2
0,2,8,34,12,79.0,5.5
0,2,8,34,13,163.2,4.5
0,2,8,34,14,61.2,4.1
0,2,8,34,15,183.3,5.3
0,2,8,34,34,157.9,217.5
0,3,9,0,0,6.5,2.2
0,3,9,0,7,2.9,5.2
0,3,9,0,12,3.8,5.3
0,3,9,0,13,18.2,10.7
0,3,9,0,14,7.3,31.8
0,3,9,0,15,50.7,9.6
0,3,9,0,34,3.9,34.9
0,3,9,7,0,6.6,11.7
0,3,9,7,7,5.8,4.0
0,3,9,7,12,10.8,13.5
0,3,9,7,13,21.3,27.7
0,3,9,7,14,2.8,30.8
0,3,9,7,15,3.0,3.2
0,3,9,7,34,2.9,43.6
0,3,9,12,0,30.9,26.3
0,3,9,12,7,3.4,2.9
0,3,9,12,12,7.5,11.9
0,3,9,12,13,8.5,7.3
0,3,9,12,14,5.7,28.7
0,3,9,12,15,14.2,4.6
0,3,9,12,34,4.5,134.7
0,3,9,13,0,29.5,25.4
0,3,9,13,7,4.4,3.3
0,3,9,13,12,8.0,4.8
0,3,9,13,13,19.6,12.4
0,3,9,13,14,4.2,18.4
0,3,9,13,15,3.4,3.5
0,3,9,13,34,6.0,105.9
0,3,9,14,0,29.6,4.0
0,3,9,14,7,25.2,2.9
0,3,9,14,12,17.4,15.2
0,3,9,14,13,19.4,5.1
0,3,9,14,14,8.4,3.8
0,3,9,14,15,21.2,5.6
0,3,9,14,34,5.1,67.4
0,3,9,15,0,13.5,14.7
0,3,9,15,7,19.4,11.3
0,3,9,15,12,11.0,9.5
0,3,9,15,13,7.4,6.5
0,3,9,15,14,4.9,25.2
0,3,9,15,15,5.0,7.3
0,3,9,15,34,4.8,125.5
0,3,9,34,0,40.4,4.1
0,3,9,34,7,32.3,3.9
0,3,9,34,12,61.7,4.4
0,3,9,34,13,100.9,7.7
0,3,9,34,14,56.7,6.5
0,3,9,34,15,51.2,4.7
0,3,9,34,34,126.1,225.9
0,4,10,0,0,43.7,8.6
0,4,10,0,7,17.0,5.7
0,4,10,0,12,44.0,20.9
0,4,10,0,13,6.6,7.8
0,4,10,0,14,3.0,24.6
0,4,10,0,15,3.1,3.2
0,4,10,0,34,3.6,36.0
0,4,10,7,0,6.0,10.4
0,4,10,7,7,3.2,4.1
0,4,10,7,12,5.1,3.8
0,4,10,7,13,9.7,15.5
0,4,10,7,14,3.0,17.9
0,4,10,7,15,2.1,3.5
0,4,10,7,34,3.4,36.7
0,4,10,12,0,20.7,22.1
0,4,10,12,7,17.0,17.3
0,4,10,12,12,9.5,11.7
0,4,10,12,13,6.4,4.1
0,4,10,12,14,5.1,26.1
0,4,10,12,15,3.6,4.0
0,4,10,12,34,8.5,157.6
0,4,10,13,0,4.3,3.0
0,4,10,13,7,4.7,6.9
0,4,10,13,12,15.4,16.2
0,4,10,13,13,3.4,0.7
0,4,10,13,14,2.8,14.7
0,4,10,13,15,3.9,3.5
0,4,10,13,34,7.6,102.9
0,4,10,14,0,31.0,3.0
0,4,10,14,7,13.6,3.1
0,4,10,14,12,28.7,6.1
0,4,10,14,13,12.3,3.8
0,4,10,14,14,6.2,4.2
0,4,10,14,15,21.9,3.9
0,4,10,14,34,13.2,207.3
0,4,10,15,0,9.7,7.1
0,4,10,15,7,18.3,21.3
0,4,10,15,12,10.0,10.4
0,4,10,15,13,4.4,3.4
0,4,10,15,14,5.2,25.6
0,4,10,15,15,8.7,6.4
0,4,10,15,34,4.6,199.2
0,4,10,34,0,38.0,2.9
0,4,10,34,7,37.6,2.9
0,4,10,34,12,190.2,3.8
0,4,10,34,13,186.1,3.3
0,4,10,34,14,61.4,3.9
0,4,10,34,15,72.0,3.8
0,4,10,34,34,22.9,71.7
0,5,11,0,0,61.2,18.3
0,5,11,0,7,34.9,7.0
0,5,11,0,12,4.3,4.1
0,5,11,0,13,12.8,9.6
0,5,11,0,14,3.0,25.8
0,5,11,0,15,4.1,3.8
0,5,11,0,34,6.8,40.3
0,5,11,7,0,5.0,3.8
0,5,11,7,7,3.3,2.8
0,5,11,7,12,25.4,16.9
0,5,11,7,13,2.1,2.3
0,5,11,7,14,2.4,21.3
0,5,11,7,15,16.8,11.9
0,5,11,7,34,3.0,64.3
0,5,11,12,0,7.9,23.9
0,5,11,12,7,23.4,23.4
0,5,11,12,12,12.3,5.6
0,5,11,12,13,7.9,7.0
0,5,11,12,14,6.2,21.6
0,5,11,12,15,9.8,10.2
0,5,11,12,34,4.8,118.6
0,5,11,13,0,2.0,2.7
0,5,11,13,7,15.5,12.8
0,5,11,13,12,8.5,4.5
0,5,11,13,13,3.1,4.4
0,5,11,13,14,6.1,29.4
0,5,11,13,15,3.3,3.1
0,5,11,13,34,3.5,105.8
0,5,11,14,0,25.7,3.8
0,5,11,14,7,20.7,7.2
0,5,11,14,12,17.7,4.1
0,5,11,14,13,28.8,4.3
0,5,11,14,14,11.0,30.9
0,5,11,14,15,22.1,4.4
0,5,11,14,34,4.4,129.0
0,5,11,15,0,11.5,8.0
0,5,11,15,7,5.5,10.2
0,5,11,15,12,5.9,14.5
0,5,11,15,13,3.8,3.3
0,5,11,15,14,5.7,31.5
0,5,11,15,15,14.9,16.6
0,5,11,15,34,6.3,219.6
0,5,11,34,0,25.1,2.8
0,5,11,34,7,31.7,4.6
0,5,11,34,12,194.0,4.1
0,5,11,34,13,184.9,3.9
0,5,11,34,14,23.9,2.9
0,5,11,34,15,84.5,3.6
0,5,11,34,34,75.3,84.7
0,0,-1,0,-1,3.6,-1
0,0,-1,7,-1,3.8,-1
0,0,-1,12,-1,4.5,-1
0,0,-1,13,-1,4.9,-1
0,0,-1,14,-1,2.9,-1
0,0,-1,15,-1,3.8,-1
0,0,-1,34,-1,4.1,-1
0,1,-1,0,-1,2.7,-1
0,1,-1,7,-1,2.7,-1
0,1,-1,12,-1,2.8,-1
0,1,-1,13,-1,2.9,-1
0,1,-1,14,-1,3.9,-1
0,1,-1,15,-1,4.0,-1
0,1,-1,34,-1,5.2,-1
0,2,-1,0,-1,3.9,-1
0,2,-1,7,-1,3.8,-1
0,2,-1,12,-1,3.1,-1
0,2,-1,13,-1,3.8,-1
0,2,-1,14,-1,3.6,-1
0,2,-1,15,-1,3.9,-1
0,2,-1,34,-1,4.3,-1
0,3,-1,0,-1,3.6,-1
0,3,-1,7,-1,3.0,-1
0,3,-1,12,-1,3.1,-1
0,3,-1,13,-1,4.2,-1
0,3,-1,14,-1,3.8,-1
0,3,-1,15,-1,3.9,-1
0,3,-1,34,-1,12.7,-1
0,4,-1,0,-1,2.8,-1
0,4,-1,7,-1,2.7,-1
0,4,-1,12,-1,3.1,-1
0,4,-1,13,-1,2.9,-1
0,4,-1,14,-1,2.8,-1
0,4,-1,15,-1,2.9,-1
0,4,-1,34,-1,3.1,-1
0,5,-1,0,-1,2.7,-1
0,5,-1,7,-1,2.7,-1
0,5,-1,12,-1,2.9,-1
0,5,-1,13,-1,3.0,-1
0,5,-1,14,-1,3.3,-1
0,5,-1,15,-1,3.8,-1
0,5,-1,34,-1,4.3,-1
0,6,-1,0,-1,3.6,-1
0,6,-1,7,-1,3.9,-1
0,6,-1,12,-1,3.1,-1
0,6,-1,13,-1,3.9,-1
0,6,-1,14,-1,4.1,-1
0,6,-1,15,-1,3.8,-1
0,6,-1,34,-1,4.6,-1
0,7,-1,0,-1,3.6,-1
0,7,-1,7,-1,2.9,-1
0,7,-1,12,-1,2.9,-1
