repeat,cpu1,cpu2,test1,test2,core0_avg_cycles,core1_avg_cycles
0,0,20,0,0,15.5,16.1
0,0,20,0,7,10.9,0.5
0,0,20,0,13,22.6,85.3
0,0,20,0,14,0.6,133.5
0,0,20,0,15,23.2,84.9
0,0,20,0,34,0.5,264.3
0,0,20,7,0,0.5,12.5
0,0,20,7,7,1.6,1.3
0,0,20,7,13,3.4,78.4
0,0,20,7,14,0.6,120.3
0,0,20,7,15,3.5,80.8
0,0,20,7,34,0.5,260.5
0,0,20,13,0,85.4,25.2
0,0,20,13,7,75.4,2.2
0,0,20,13,13,76.9,81.2
0,0,20,13,14,62.3,191.8
0,0,20,13,15,73.3,74.1
0,0,20,13,34,64.8,424.2
0,0,20,14,0,132.2,0.8
0,0,20,14,7,135.0,0.8
0,0,20,14,13,201.6,64.2
0,0,20,14,14,117.0,99.6
0,0,20,14,15,204.1,59.3
0,0,20,14,34,118.4,264.3
0,0,20,15,0,78.3,23.9
0,0,20,15,7,75.9,1.9
0,0,20,15,13,77.4,71.2
0,0,20,15,14,59.9,197.9
0,0,20,15,15,76.9,76.6
0,0,20,15,34,60.2,436.4
0,0,20,34,0,313.9,0.9
0,0,20,34,7,268.2,0.7
0,0,20,34,13,512.1,63.7
0,0,20,34,14,227.2,94.9
0,0,20,34,15,437.4,61.4
0,0,20,34,34,290.6,283.8
0,1,21,0,0,15.1,16.1
0,1,21,0,7,11.6,0.5
0,1,21,0,13,24.6,83.9
0,1,21,0,14,1.0,137.7
0,1,21,0,15,23.1,84.7
0,1,21,0,34,1.0,236.5
0,1,21,7,0,0.5,12.8
0,1,21,7,7,0.7,0.8
0,1,21,7,13,3.5,76.9
0,1,21,7,14,0.5,121.7
0,1,21,7,15,2.6,76.3
0,1,21,7,34,1.1,173.7
0,1,21,13,0,80.2,22.9
0,1,21,13,7,71.7,2.2
0,1,21,13,13,75.5,76.1
0,1,21,13,14,60.6,205.7
0,1,21,13,15,71.8,74.7
0,1,21,13,34,57.1,410.2
0,1,21,14,0,141.6,4.5
0,1,21,14,7,111.1,0.8
0,1,21,14,13,184.1,62.4
0,1,21,14,14,108.0,90.0
0,1,21,14,15,185.7,58.1
0,1,21,14,34,91.0,290.2
0,1,21,15,0,85.0,22.8
0,1,21,15,7,75.4,2.2
0,1,21,15,13,81.5,80.5
0,1,21,15,14,64.5,191.4
0,1,21,15,15,71.2,80.2
0,1,21,15,34,58.5,428.4
0,1,21,34,0,287.1,0.9
0,1,21,34,7,266.7,0.8
0,1,21,34,13,433.7,63.0
0,1,21,34,14,250.6,101.3
0,1,21,34,15,426.9,59.9
0,1,21,34,34,275.4,296.2
0,2,22,0,0,14.2,15.2
0,2,22,0,7,11.1,0.5
0,2,22,0,13,23.2,92.7
0,2,22,0,14,1.2,139.8
0,2,22,0,15,22.9,84.7
0,2,22,0,34,0.5,267.8
0,2,22,7,0,0.5,13.1
0,2,22,7,7,1.2,0.4
0,2,22,7,13,2.8,78.6
0,2,22,7,14,0.6,115.1
0,2,22,7,15,3.5,75.1
0,2,22,7,34,0.5,265.0
0,2,22,13,0,82.2,24.7
0,2,22,13,7,69.3,2.5
0,2,22,13,13,63.8,91.1
0,2,22,13,14,63.8,207.6
0,2,22,13,15,69.6,75.7
0,2,22,13,34,63.7,449.2
0,2,22,14,0,132.9,1.0
0,2,22,14,7,116.7,0.4
0,2,22,14,13,183.3,66.4
0,2,22,14,14,111.5,100.7
0,2,22,14,15,186.8,60.3
0,2,22,14,34,103.2,267.7
0,2,22,15,0,76.7,22.3
0,2,22,15,7,67.9,1.7
0,2,22,15,13,75.2,79.8
0,2,22,15,14,61.1,189.7
0,2,22,15,15,77.0,78.5
0,2,22,15,34,61.8,481.0
0,2,22,34,0,261.7,0.9
0,2,22,34,7,255.6,0.8
0,2,22,34,13,415.9,66.8
0,2,22,34,14,251.7,100.6
0,2,22,34,15,415.9,67.9
0,2,22,34,34,217.3,253.6
0,3,23,0,0,15.4,14.9
0,3,23,0,7,11.7,0.9
0,3,23,0,13,21.9,76.6
0,3,23,0,14,1.0,133.1
0,3,23,0,15,22.8,79.3
0,3,23,0,34,1.0,236.6
0,3,23,7,0,0.7,12.1
0,3,23,7,7,1.4,0.5
0,3,23,7,13,5.3,77.2
0,3,23,7,14,0.5,109.0
0,3,23,7,15,2.1,68.5
0,3,23,7,34,0.5,270.2
0,3,23,13,0,74.9,23.6
0,3,23,13,7,71.2,1.9
0,3,23,13,13,78.6,72.2
0,3,23,13,14,66.4,194.5
0,3,23,13,15,73.0,68.6
0,3,23,13,34,61.1,491.6
0,3,23,14,0,115.5,0.6
0,3,23,14,7,125.2,1.1
0,3,23,14,13,157.6,57.4
0,3,23,14,14,100.2,102.6
